stocksymbol,weighted_avg_price
s10220,447.0
s10221,171.38952536824877
s10222,481.0
s10223,166.19590305828044
s10224,241.0
s10225,431.5551932929669
s10226,317.88669285538913
s10227,343.2630420830659
s10228,183.0
s10229,209.0
s1023,290.5690523090392
s10230,192.0
s10231,179.0
s10232,111.20226579069887
s10233,65.61416866072076
s10234,59.24844473858372
s10235,472.0
s10236,437.0
s10237,400.6666666666667
s10238,480.0
s10239,83.0
s1024,437.56863314365347
s10240,254.0
s10241,77.17512437810946
s10242,465.0
s10243,334.9043222266827
s10244,447.0
s10245,54.0
s10246,218.0
s10247,141.56989960219738
s10248,165.85799588194922
s10249,267.6060433295325
s1025,322.0
s10250,61.0
s10251,218.0
s10252,436.0
s10253,466.0
s10254,495.0
s10255,357.0
s10256,365.0
s10257,81.0
s10258,238.0
s10259,302.0
s1026,289.0
s10260,406.0
s10261,472.0
s10262,371.0
s10263,99.0
s10264,237.64245374878286
s10265,382.9145334434352
s10266,245.14384186517992
s10267,139.0
s10268,366.0
s10269,208.0
s1027,158.0
s10270,352.0
s10271,117.0
s10272,217.0
s10273,365.127961125734
s10274,128.0
s10275,72.0
s10276,467.0
s10277,53.0
s10278,315.0
s10279,423.0
s1028,60.0
s10280,236.0
s10281,162.43126295862257
s10282,351.0
s10283,454.0
s10284,458.6947180356407
s10285,437.0
s10286,289.0
s10287,290.0
s10288,256.0
s10289,99.0
s1029,487.0
s10290,173.0
s10291,332.0
s10292,149.0
s10293,307.0
s10294,393.7061762339056
s10295,478.3750301665192
s10296,166.37481443232429
s10297,59.0
s10298,214.0
s10299,308.14819856225273
s103,351.5460477532256
s1030,339.0
s10300,413.2036558917691
s10301,315.0
s10302,236.0
s10303,452.0
s10304,269.6245992649934
s10305,106.90787207872079
s10306,277.1424065987385
s10307,155.0730769230769
s10308,198.0
s10309,234.0
s1031,393.90312063344203
s10310,119.22633744855968
s10311,80.0
s10312,427.0
s10313,443.0
s10314,179.73448965977317
s10315,302.0
s10316,171.0
s10317,433.0
s10318,214.8303483979292
s10319,300.0
s1032,54.25230202578269
s10320,446.7416752843847
s10321,326.0
s10322,476.0
s10323,454.0
s10324,133.0
s10325,228.0
s10326,215.05142410219645
s10327,476.0
s10328,182.0
s10329,353.0
s1033,259.0369769704833
s10330,374.0
s10331,488.4435791217896
s10332,70.26984126984127
s10333,334.0
s10334,378.0
s10335,111.0
s10336,135.0
s10337,372.0
s10338,432.0
s10339,71.0
s1034,322.0
s10340,344.0
s10341,57.0
s10342,80.45655627520469
s10343,142.58147054688598
s10344,375.0
s10345,324.41272189349115
s10346,307.0
s10347,419.02193431071714
s10348,202.47473452008413
s10349,228.0
s1035,313.90528251762544
s10350,228.0
s10351,111.0
s10352,384.0
s10353,493.777965093217
s10354,179.0
s10355,423.0
s10356,400.091267235719
s10357,118.0
s10358,318.0
s10359,330.0
s1036,473.0
s10360,241.0
s10361,148.45060503233242
s10362,193.0
s10363,221.50665618154244
s10364,156.0
s10365,316.0
s10366,61.0
s10367,171.0
s10368,374.2875996015936
s10369,107.0
s1037,239.0
s10370,385.0
s10371,271.83108218063467
s10372,83.04228161148784
s10373,318.0
s10374,290.0
s10375,210.0
s10376,373.0
s10377,332.0
s10378,151.90923601225143
s10379,60.0
s1038,232.0
s10380,242.87265834076717
s10381,87.0
s10382,430.0
s10383,496.0
s10384,65.0
s10385,241.0
s10386,169.40496273048254
s10387,187.0
s10388,257.0
s10389,367.0
s1039,491.0
s10390,371.8192889764485
s10391,182.0
s10392,230.1046683046683
s10393,476.8193335169375
s10394,369.0
s10395,367.0
s10396,291.93063854715876
s10397,154.0
s10398,187.08820859806914
s10399,151.0
s104,237.0
s1040,407.1255155347814
s10400,240.0
s10401,328.3768702477312
s10402,383.0
s10403,81.99530583214793
s10404,415.0
s10405,288.0
s10406,200.0
s10407,201.0
s10408,425.0
s10409,322.71377649325626
s1041,116.0
s10410,302.927936786655
s10411,314.0
s10412,484.8774034003091
s10413,50.36455310504933
s10414,420.21461048802666
s10415,449.0
s10416,305.0
s10417,250.51368339618992
s10418,308.2784940691078
s10419,70.0
s1042,393.0
s10420,241.10654791357413
s10421,277.0
s10422,399.0
s10423,181.0
s10424,352.0
s10425,461.0
s10426,330.0
s10427,499.3195167824074
s10428,247.0
s10429,254.0
s1043,256.65250742329266
s10430,420.0
s10431,200.72798216276476
s10432,319.0
s10433,330.0
s10434,477.2186896078798
s10435,475.0
s10436,98.00225352112676
s10437,291.0
s10438,420.0
s10439,59.0
s1044,87.0
s10440,430.21082315026183
s10441,475.0
s10442,338.0
s10443,265.0
s10444,345.0
s10445,381.0
s10446,73.0
s10447,331.34656777196045
s10448,353.5376253639599
s10449,240.0
s1045,433.0
s10450,274.0
s10451,315.0
s10452,161.0
s10453,196.0
s10454,417.13322492595387
s10455,119.4273643023643
s10456,204.0
s10457,138.0
s10458,172.0
s10459,340.0
s1046,340.0
s10460,164.0
s10461,361.53904655907996
s10462,269.0
s10463,61.0
s10464,438.4795234549516
s10465,432.0
s10466,58.288734667527436
s10467,60.091074808946225
s10468,310.0
s10469,437.0
s1047,196.58474067402236
s10470,377.0
s10471,350.0
s10472,290.0
s10473,76.0
s10474,274.0
s10475,416.0
s10476,219.0
s10477,313.0
s10478,317.0
s10479,117.0
s1048,127.57690036277735
s10480,358.0
s10481,57.033009708737865
s10482,262.0
s10483,485.0
s10484,429.0
s10485,155.01479182829067
s10486,382.0
s10487,365.0
s10488,460.0
s10489,165.0
s1049,211.0
s10490,279.0
s10491,268.0
s10492,486.0
s10493,330.0
s10494,457.0
s10495,425.0
s10496,313.0
s10497,135.0
s10498,301.8780286343612
s10499,87.0
s105,165.0
s1050,243.9832913710231
s10500,332.0017587055927
s10501,485.0
s10502,258.0
s10503,239.0
s10504,384.0
s10505,478.0
s10506,372.2078272604588
s10507,191.0
s10508,346.0
s10509,312.0
s1051,261.0
s10510,302.82036247334753
s10511,89.29251269035532
s10512,396.0
s10513,406.7962291515591
s10514,363.0
s10515,295.0
s10516,276.0
s10517,381.0
s10518,301.0
s10519,313.0
s1052,394.0
s10520,328.0
s10521,122.0
s10522,83.83633633633633
s10523,403.0
s10524,259.0
s10525,440.0
s10526,255.21154811715482
s10527,364.67788861180384
s10528,463.0
s10529,288.0
s1053,418.0
s10530,396.6231909127602
s10531,307.0
s10532,199.4319423049993
s10533,433.0
s10534,437.0
s10535,402.0
s10536,442.0
s10537,246.0
s10538,163.0
s10539,211.7624347826087
s1054,136.0
s10540,128.0
s10541,380.78804243008676
s10542,453.05390527061644
s10543,333.08922226608763
s10544,458.0
s10545,496.49902240938485
s10546,315.0
s10547,243.4248414770608
s10548,242.00382545548857
s10549,140.0
s1055,382.0
s10550,153.0
s10551,114.26355296080067
s10552,400.0
s10553,91.17041696388043
s10554,123.0
s10555,197.0
s10556,190.0
s10557,482.0
s10558,277.0
s10559,468.0
s1056,180.90453645519497
s10560,453.0
s10561,96.0
s10562,115.0
s10563,144.0
s10564,154.19857126263213
s10565,103.0
s10566,426.0
s10567,297.0
s10568,340.0
s10569,118.0
s1057,261.0
s10570,357.8757597173145
s10571,500.0
s10572,339.923828125
s10573,472.18029464494504
s10574,175.0
s10575,390.64124275385916
s10576,186.0
s10577,94.0
s10578,465.0
s10579,384.0
s1058,441.8772309356409
s10580,497.0
s10581,146.1644424338385
s10582,221.0
s10583,163.0
s10584,191.0
s10585,175.0
s10586,122.0
s10587,497.2436882546652
s10588,232.0
s10589,353.0
s1059,144.0
s10590,481.0
s10591,473.0
s10592,349.0
s10593,180.0
s10594,226.674671240709
s10595,176.49723393439191
s10596,444.0
s10597,230.0
s10598,229.53953674121405
s10599,261.0
s106,422.0
s1060,473.0
s10600,120.0
s10601,270.2751534895377
s10602,101.60493827160494
s10603,500.0
s10604,273.0
s10605,396.3447513812155
s10606,251.0
s10607,212.0
s10608,184.0
s10609,52.0
s1061,356.0
s10610,223.0
s10611,96.0
s10612,90.0
s10613,99.19798180784537
s10614,414.0
s10615,150.0
s10616,499.0
s10617,82.0
s10618,493.0
s10619,53.0
s1062,310.0
s10620,83.11468061262607
s10621,152.0
s10622,244.0
s10623,486.0
s10624,475.0
s10625,227.0
s10626,102.00413009808983
s10627,349.0
s10628,399.00636074511584
s10629,274.0
s1063,88.0
s10630,75.0
s10631,321.0
s10632,129.38760134892732
s10633,146.1464
s10634,439.0
s10635,186.0
s10636,471.0
s10637,427.0
s10638,472.0
s10639,65.19225893056903
s1064,85.0
s10640,178.23740163438256
s10641,173.0
s10642,370.0
s10643,451.3581779342994
s10644,250.0
s10645,67.0
s10646,279.44720414397665
s10647,371.0
s10648,472.0
s10649,177.15035567203296
s1065,361.0
s10650,237.65183574475202
s10651,165.0
s10652,367.0
s10653,500.0
s10654,135.0
s10655,251.0
s10656,112.0
s10657,301.0
s10658,149.0
s10659,404.70408357075024
s1066,474.0
s10660,76.0
s10661,325.0
s10662,54.0
s10663,492.1775251421076
s10664,453.0
s10665,282.0
s10666,323.0
s10667,302.0
s10668,210.0
s10669,333.0
s1067,307.0
s10670,337.0
s10671,237.4895955108721
s10672,158.0
s10673,259.0
s10674,356.0
s10675,240.0
s10676,421.0
s10677,234.4656526005888
s10678,279.0
s10679,240.0
s1068,371.0
s10680,452.0
s10681,188.37894438941558
s10682,72.0
s10683,220.0
s10684,117.83435281803015
s10685,77.0
s10686,297.0
s10687,256.18099181900817
s10688,185.22314591993
s10689,82.0
s1069,63.0
s10690,365.7618997693437
s10691,419.0
s10692,386.0
s10693,178.0
s10694,97.0
s10695,167.0
s10696,66.4091490268504
s10697,325.0
s10698,337.2634329205953
s10699,236.0
s107,218.0
s1070,301.64418999151826
s10700,407.0
s10701,237.468754146212
s10702,296.0
s10703,465.0
s10704,406.0
s10705,132.0
s10706,499.0
s10707,136.0
s10708,326.0
s10709,163.0
s1071,385.7701617003966
s10710,298.0
s10711,350.48463983050846
s10712,241.03015957852944
s10713,385.45203905801264
s10714,298.0
s10715,281.0
s10716,281.0
s10717,199.0
s10718,437.0
s10719,279.0
s1072,147.0
s10720,54.227743271221534
s10721,97.0
s10722,365.0
s10723,340.0
s10724,173.0
s10725,329.046463022508
s10726,177.48608953537635
s10727,101.0
s10728,99.0
s10729,239.0
s1073,50.41935868399094
s10730,480.0
s10731,472.0
s10732,192.07068709836875
s10733,50.0
s10734,480.0
s10735,256.0
s10736,406.0
s10737,214.0
s10738,481.0
s10739,221.19728671061432
s1074,266.0
s10740,338.0
s10741,71.81268943220853
s10742,372.0
s10743,130.72581234027018
s10744,472.0
s10745,162.0
s10746,383.0
s10747,435.56448727566504
s10748,277.0
s10749,486.0
s1075,103.0
s10750,420.0
s10751,272.0
s10752,346.0
s10753,104.0
s10754,187.0
s10755,242.56712226174875
s10756,205.0
s10757,128.84753690353588
s10758,70.0
s10759,413.0
s1076,282.0
s10760,316.0
s10761,372.0
s10762,468.0
s10763,358.82790389150944
s10764,228.0
s10765,61.1205432527621
s10766,316.0
s10767,130.0
s10768,200.0
s10769,461.0355395451368
s1077,466.0
s10770,106.0
s10771,489.1086124607645
s10772,376.9149052229647
s10773,457.0
s10774,82.36920005507366
s10775,86.06528253424658
s10776,50.0
s10777,214.0
s10778,84.0
s10779,164.95856827653836
s1078,399.0
s10780,157.0
s10781,178.16736227045075
s10782,65.43263473053892
s10783,365.0
s10784,263.0
s10785,183.06622158065682
s10786,144.6728605077205
s10787,132.21788747346073
s10788,289.0
s10789,106.0
s1079,225.0696872125115
s10790,393.0
s10791,330.0
s10792,324.2380605176814
s10793,270.0
s10794,51.0
s10795,204.0
s10796,60.0
s10797,96.6165658025472
s10798,79.0
s10799,176.0
s108,370.9516509433962
s1080,148.0
s10800,212.0
s10801,199.0
s10802,122.0
s10803,340.0
s10804,475.0
s10805,305.0
s10806,89.0
s10807,121.0
s10808,422.0
s10809,113.0
s1081,102.0
s10810,447.0
s10811,258.0
s10812,253.0
s10813,302.0
s10814,375.0
s10815,117.90701349215996
s10816,81.92691176470588
s10817,208.6778502957373
s10818,283.0
s10819,204.80739697076436
s1082,455.0
s10820,491.084618927009
s10821,322.0
s10822,296.0
s10823,290.0
s10824,347.0
s10825,361.87658802177856
s10826,149.0
s10827,247.17037279267495
s10828,93.0
s10829,246.0
s1083,181.0
s10830,56.298764001544995
s10831,387.0
s10832,488.0
s10833,79.0
s10834,299.0
s10835,56.0
s10836,303.0
s10837,263.0
s10838,164.0
s10839,448.1382325581395
s1084,466.9925496688742
s10840,300.372397094431
s10841,98.20319849482597
s10842,499.0
s10843,339.0
s10844,221.0
s10845,303.0
s10846,388.03880394155624
s10847,333.0
s10848,308.0
s10849,57.0
s1085,192.24229828850855
s10850,488.0
s10851,331.0
s10852,479.0
s10853,412.0
s10854,67.0
s10855,91.94164768711222
s10856,361.0
s10857,395.0
s10858,324.0
s10859,153.48418577307467
s1086,440.8041105856675
s10860,462.0
s10861,474.0
s10862,455.0
s10863,374.0
s10864,407.4747593331768
s10865,485.0
s10866,284.3061211624535
s10867,117.0
s10868,135.0
s10869,376.7628267182962
s1087,256.0
s10870,128.79840196681008
s10871,189.0
s10872,193.0
s10873,431.0
s10874,91.055625
s10875,283.0
s10876,430.0
s10877,73.0
s10878,90.09748255990294
s10879,351.73209131461556
s1088,179.0
s10880,137.0
s10881,378.9018906489525
s10882,377.0568993608222
s10883,143.0
s10884,397.79118635136024
s10885,409.82256126862086
s10886,260.0
s10887,472.0
s10888,202.0
s10889,440.0
s1089,405.7630393723667
s10890,51.0
s10891,204.35730528709493
s10892,333.0
s10893,196.0
s10894,51.0
s10895,234.5361067874157
s10896,286.0
s10897,313.02800131384464
s10898,482.0
s10899,245.608476767127
s109,189.0
s1090,126.0
s10900,183.0
s10901,294.7750713188501
s10902,84.82919488337096
s10903,473.0
s10904,72.06429489927133
s10905,120.0
s10906,407.0
s10907,426.0
s10908,95.0
s10909,320.0
s1091,118.0
s10910,473.0
s10911,417.0
s10912,457.0
s10913,285.0
s10914,483.86179477470654
s10915,432.0
s10916,428.0
s10917,369.8066048667439
s10918,428.65235267245316
s10919,134.66637585063688
s1092,410.0
s10920,58.267131144058794
s10921,215.0
s10922,430.0
s10923,342.0
s10924,225.7198904434081
s10925,214.0
s10926,358.3590473881954
s10927,372.0
s10928,315.0
s10929,457.0
s1093,453.0
s10930,256.0
s10931,308.0
s10932,292.0
s10933,477.0
s10934,108.26588465298143
s10935,283.9483019684188
s10936,240.0
s10937,473.0
s10938,58.0
s10939,171.1622219491213
s1094,499.0
s10940,117.0
s10941,154.0
s10942,341.97163120567376
s10943,116.0
s10944,488.0
s10945,85.0
s10946,406.0
s10947,242.0
s10948,130.0
s10949,60.0
s1095,253.0
s10950,136.88375080282594
s10951,360.0
s10952,479.9498317528296
s10953,174.5824214613484
s10954,206.0
s10955,353.0
s10956,346.0
s10957,165.0
s10958,376.0
s10959,447.0
s1096,390.0
s10960,399.0
s10961,405.0
s10962,241.0
s10963,158.0
s10964,165.0
s10965,452.0
s10966,93.9387513651256
s10967,62.601324057450626
s10968,298.0
s10969,198.0
s1097,359.12307587984
s10970,201.0
s10971,328.0
s10972,381.7733341933819
s10973,62.0
s10974,87.90199153206837
s10975,431.58565667192704
s10976,482.0
s10977,251.0
s10978,249.0
s10979,138.0
s1098,230.0
s10980,170.0
s10981,167.5886630617192
s10982,231.1531174646917
s10983,130.62612557049462
s10984,431.0
s10985,372.0099640537302
s10986,201.0
s10987,342.0
s10988,296.0
s10989,381.0
s1099,335.0
s10990,166.0
s10991,483.0
s10992,235.23854355009664
s10993,134.0
s10994,108.0
s10995,134.0
s10996,173.0
s10997,481.0
s10998,356.64563439300537
s10999,497.0
s11,495.0
s110,151.13769287288758
s1100,118.0
s11000,471.0
s11001,204.6251946807236
s11002,439.0
s11003,247.0
s11004,147.0
s11005,465.0
s11006,347.0
s11007,214.14071856287424
s11008,143.23622936168212
s11009,302.0
s1101,404.0
s11010,313.5119669063331
s11011,179.0
s11012,426.0
s11013,368.0
s11014,241.0
s11015,476.0
s11016,490.0
s11017,428.0
s11018,350.0
s11019,445.0
s1102,456.30483416010117
s11020,184.0
s11021,483.0
s11022,315.0
s11023,477.0
s11024,63.0
s11025,305.0
s11026,134.0
s11027,259.0
s11028,131.0
s11029,162.0
s1103,86.0
s11030,301.0
s11031,323.0
s11032,307.0
s11033,425.25501342175903
s11034,140.4641578486753
s11035,421.0
s11036,138.0
s11037,90.0
s11038,141.70839384257914
s11039,318.1537510573232
s1104,196.0
s11040,89.0
s11041,121.58102345415779
s11042,141.67444074250358
s11043,205.0
s11044,466.0
s11045,459.0
s11046,381.0
s11047,146.01624423963133
s11048,295.36317598119007
s11049,168.0
s1105,365.0
s11050,174.09364892678624
s11051,484.0
s11052,235.65276996625423
s11053,449.0
s11054,402.0
s11055,414.8480075602457
s11056,231.0
s11057,199.0
s11058,442.0
s11059,194.59042072497238
s1106,122.37013206908229
s11060,206.0
s11061,375.0
s11062,300.0
s11063,154.0
s11064,95.0
s11065,221.0
s11066,363.0
s11067,149.42310146777282
s11068,158.0
s11069,364.6811617078368
s1107,82.0
s11070,438.12784349408554
s11071,283.0
s11072,197.0
s11073,299.0
s11074,60.0
s11075,462.0
s11076,131.0
s11077,105.0
s11078,427.0
s11079,470.0
s1108,141.0
s11080,107.0
s11081,363.0
s11082,167.0
s11083,228.44763618744375
s11084,251.0
s11085,479.2541287495787
s11086,148.48256036795706
s11087,353.0
s11088,446.0
s11089,276.0
s1109,216.0
s11090,233.0
s11091,183.0
s11092,77.99507850949145
s11093,310.0
s11094,265.403575815477
s11095,83.0
s11096,222.7414817130353
s11097,253.0
s11098,117.0
s11099,264.19379577768206
s111,211.0
s1110,62.0
s11100,92.0
s11101,489.10005999600025
s11102,481.0
s11103,256.09263657957246
s11104,117.03828670509395
s11105,57.0
s11106,104.28017307989492
s11107,133.0
s11108,376.0
s11109,220.0
s1111,321.0
s11110,80.0
s11111,245.0
s11112,248.57980456026058
s11113,384.0
s11114,108.0
s11115,212.0
s11116,190.49201996765802
s11117,362.0
s11118,353.0
s11119,356.51943254026895
s1112,164.0
s11120,307.565170710758
s11121,495.85916568334835
s11122,64.09217999126255
s11123,98.0
s11124,200.0
s11125,352.0
s11126,375.0
s11127,209.0
s11128,88.0
s11129,116.0
s1113,388.2419541403007
s11130,249.0
s11131,451.0
s11132,318.9324134046747
s11133,100.0
s11134,409.0
s11135,291.0
s11136,440.0
s11137,123.0
s11138,264.0
s11139,177.0
s1114,115.0
s11140,252.35739121272783
s11141,345.57468170243726
s11142,486.0
s11143,397.0
s11144,119.0
s11145,381.0
s11146,136.28108369617803
s11147,287.8195089581951
s11148,433.0
s11149,450.27728663719824
s1115,481.965780273334
s11150,198.0
s11151,76.40674887678043
s11152,77.0
s11153,256.83913080821094
s11154,179.0
s11155,372.0
s11156,173.52802893309223
s11157,440.0
s11158,350.0
s11159,358.0
s1116,212.0
s11160,380.0483588621444
s11161,498.0
s11162,223.0
s11163,316.0
s11164,288.0
s11165,488.0
s11166,261.0046027547831
s11167,194.0
s11168,380.0
s11169,168.0
s1117,257.56281308958427
s11170,498.0
s11171,83.0
s11172,145.0
s11173,457.0
s11174,326.0
s11175,365.0
s11176,499.6766850101124
s11177,390.73869397688094
s11178,375.0
s11179,270.118534670737
s1118,76.76697247706421
s11180,86.0
s11181,258.0
s11182,72.71315646011267
s11183,161.0
s11184,112.84770514603616
s11185,306.10864062104463
s11186,371.77896365042534
s11187,151.0
s11188,135.0
s11189,193.0
s1119,246.56572328641838
s11190,304.0
s11191,221.0
s11192,307.0
s11193,313.0
s11194,93.0
s11195,143.0
s11196,87.0
s11197,384.0
s11198,334.11636405161585
s11199,274.0
s112,470.51220121595736
s1120,298.0
s11200,203.0
s11201,187.0
s11202,430.0
s11203,242.0
s11204,211.93321176202417
s11205,469.0
s11206,241.5170535970192
s11207,240.0
s11208,330.0
s11209,210.0
s1121,243.8989553314121
s11210,495.523300807537
s11211,126.0
s11212,397.2170686456401
s11213,339.0
s11214,305.0
s11215,276.0
s11216,486.0
s11217,406.0
s11218,146.8609677419355
s11219,241.10282795380516
s1122,408.0
s11220,266.0
s11221,209.19801730656138
s11222,122.0
s11223,78.0
s11224,243.0
s11225,167.0
s11226,360.4498911860718
s11227,379.0
s11228,400.0
s11229,489.0
s1123,460.0
s11230,93.0
s11231,330.0
s11232,446.0
s11233,220.0
s11234,463.0
s11235,404.0
s11236,476.3280701754386
s11237,311.0
s11238,351.799924033805
s11239,114.0
s1124,228.0
s11240,255.0
s11241,230.0
s11242,87.0
s11243,73.2307746878547
s11244,376.0
s11245,271.0
s11246,475.0302969097152
s11247,310.0
s11248,238.0
s11249,120.0
s1125,313.0
s11250,291.0
s11251,67.0
s11252,457.0
s11253,409.6316975897347
s11254,375.0
s11255,59.0
s11256,269.0
s11257,181.0
s11258,73.0
s11259,320.0
s1126,250.0
s11260,91.0
s11261,262.0
s11262,413.0
s11263,450.0
s11264,175.0
s11265,68.0
s11266,59.0
s11267,353.0
s11268,386.00603336093695
s11269,194.0
s1127,375.0
s11270,238.24606795124942
s11271,237.0
s11272,494.2952781371281
s11273,185.31087719298245
s11274,310.01356907894734
s11275,73.91032545071411
s11276,345.0
s11277,341.0
s11278,360.83680709534366
s11279,66.0
s1128,402.3330280131288
s11280,391.9157092756077
s11281,127.0
s11282,135.0
s11283,198.0
s11284,52.165987626376946
s11285,342.79173238150577
s11286,257.0
s11287,55.0
s11288,376.6532915360502
s11289,316.0
s1129,67.0
s11290,315.0
s11291,448.0
s11292,288.1429234338747
s11293,399.3234476367006
s11294,195.0
s11295,466.0
s11296,453.0
s11297,166.0
s11298,117.0
s11299,135.0
s113,460.0
s1130,370.0
s11300,317.0
s11301,325.0
s11302,435.81526730075433
s11303,237.65485760220486
s11304,190.0
s11305,86.0
s11306,454.0
s11307,141.0
s11308,479.0
s11309,411.0
s1131,350.5197229890974
s11310,216.0
s11311,261.0
s11312,300.0
s11313,327.0
s11314,54.0
s11315,384.8146245719536
s11316,249.0
s11317,240.23146107045235
s11318,231.0
s11319,352.1430217722353
s1132,186.0
s11320,432.0
s11321,59.5811890944925
s11322,99.0
s11323,298.0
s11324,323.0
s11325,154.0
s11326,229.65317286652078
s11327,70.84686526932194
s11328,157.35308571428573
s11329,185.63404805352798
s1133,475.0
s11330,289.0
s11331,412.0
s11332,151.0
s11333,271.50397669989917
s11334,205.08237585199612
s11335,216.0
s11336,77.0
s11337,377.2220509276487
s11338,184.48379562043795
s11339,167.0
s1134,181.68867491976158
s11340,447.0
s11341,360.0
s11342,282.0
s11343,137.1845696909695
s11344,431.0
s11345,252.1358695652174
s11346,315.0
s11347,180.0
s11348,390.85956818601215
s11349,472.0
s1135,438.75941780821915
s11350,259.0
s11351,166.10139613594697
s11352,352.0
s11353,260.0
s11354,324.0
s11355,212.0
s11356,116.0
s11357,350.0
s11358,340.0
s11359,172.0
s1136,363.0
s11360,273.0
s11361,474.0
s11362,195.0
s11363,258.0
s11364,461.0
s11365,496.0
s11366,276.55027566290363
s11367,351.3440635451505
s11368,439.0
s11369,346.0
s1137,277.0
s11370,254.0
s11371,274.0
s11372,453.0
s11373,467.0
s11374,391.0
s11375,211.0
s11376,84.0
s11377,353.0
s11378,314.537078235076
s11379,322.0
s1138,348.0
s11380,85.2927858392508
s11381,184.9653536591866
