stocksymbol,time,quantity,price,unweighted_moving_avg_price
s40833,285,1812,430,430.0
s42713,286,6892,327,327.0
s19372,287,7786,444,444.0
s18924,288,4482,314,314.0
s11073,289,9602,299,299.0
s1800,290,5998,89,86.5
s35948,291,7331,490,490.0
s44194,292,3960,107,107.0
s48970,293,2239,472,472.0
s15198,294,3289,149,149.0
s18946,295,9185,193,193.0
s16752,296,4107,304,304.0
s5760,297,8232,194,194.0
s10051,298,9360,195,195.0
s40209,299,616,249,249.0
s25505,300,8743,401,401.0
s18339,301,5131,356,356.0
s23772,302,2895,438,438.0
s51520,303,1153,482,482.0
s16815,304,561,93,93.0
s28546,305,6222,363,363.0
s9358,306,7888,262,262.0
s45359,307,3973,369,369.0
s24653,308,3926,156,156.0
s7560,309,7832,139,139.0
s59652,310,8899,481,481.0
s50251,311,6097,167,167.0
s1753,312,6138,303,303.0
s28758,313,6964,467,467.0
s45298,314,9158,315,315.0
s39829,315,3109,216,216.0
s50435,316,5787,334,334.0
s51641,317,7526,342,342.0
s7742,318,9900,75,75.0
s22925,319,6211,289,289.0
s60530,320,8009,356,356.0
s36538,321,3935,66,66.0
s64152,322,7974,255,255.0
s64876,323,743,387,387.0
s57746,324,2323,338,338.0
s67044,325,5387,365,365.0
s5280,326,2491,377,377.0
s66786,327,7670,225,225.0
s49041,328,547,497,497.0
s58408,329,2443,59,59.0
s63808,330,1742,421,421.0
s6395,331,7209,454,454.0
s69687,332,1344,405,405.0
s1149,333,756,475,475.0
s64572,334,6467,349,349.0
s56214,335,621,395,395.0
s19247,336,7903,93,93.0
s27235,337,5548,349,349.0
s50965,338,5583,208,208.0
s42755,339,1346,133,133.0
s59654,340,9105,363,363.0
s12248,341,6012,264,264.0
s7408,342,6789,279,279.0
s11777,343,6792,303,303.0
s5560,344,2513,406,406.0
s49289,345,724,135,135.0
s21039,346,3114,269,269.0
s30286,347,6234,452,452.0
s63313,348,9975,259,259.0
s28069,349,7405,372,372.0
s6068,350,694,108,108.0
s38930,351,6384,408,408.0
s52343,352,2174,404,404.0
s64211,353,4614,153,153.0
s69640,354,7901,402,402.0
s45066,355,6780,71,71.0
s35953,356,5562,69,69.0
s46011,357,2289,399,399.0
s19716,358,4713,194,194.0
s32524,359,7157,364,364.0
s51103,360,3554,170,170.0
s54077,361,7050,252,252.0
s18399,362,9304,467,467.0
s30068,363,8015,356,356.0
s29405,364,4468,470,470.0
s15971,365,6218,405,405.0
s4495,366,7808,213,213.0
s31529,367,5165,172,172.0
s41913,368,7073,69,69.0
s31904,369,5167,75,75.0
s53949,370,7049,151,151.0
s37151,371,7959,115,115.0
s31841,372,5726,205,205.0
s5061,373,1674,408,408.0
s21592,374,1557,138,138.0
s58529,375,5350,388,388.0
s35952,376,5877,148,148.0
s54802,377,6289,96,96.0
s59021,378,2420,165,165.0
s52467,379,1848,307,307.0
s30227,380,2799,248,248.0
s40541,381,4010,267,267.0
s1698,382,6797,326,326.0
s38000,383,3299,237,237.0
s31012,384,2739,392,392.0
s40358,385,8932,174,174.0
s35604,386,6819,62,62.0
s29944,387,8119,329,329.0
s8152,388,4942,165,165.0
s21058,389,3706,199,199.0
s20086,390,5211,334,334.0
s50001,391,9074,88,88.0
s59264,392,6223,249,249.0
s20085,393,8968,388,388.0
s62882,394,8268,415,415.0
s30879,395,110,233,233.0
s42070,396,8668,242,242.0
s14773,397,5366,178,178.0
s43243,398,7432,432,432.0
s61445,399,1780,111,111.0
s50839,400,7771,419,419.0
s529,401,6507,362,362.0
s45132,402,8195,164,164.0
s64179,403,7884,83,83.0
s35571,404,3551,69,69.0
s20782,405,4936,456,456.0
s40451,406,9891,476,476.0
s61624,407,5891,99,99.0
s16995,408,890,199,199.0
s57752,409,2431,63,63.0
s33821,410,8685,360,360.0
s55171,411,6448,114,114.0
s69482,412,9892,134,134.0
s39778,413,9270,284,284.0
s6915,414,280,328,328.0
s23863,415,1913,399,399.0
s10284,416,8323,461,461.0
s18083,417,6124,313,313.0
s44770,418,3405,226,226.0
s51859,419,1765,417,417.0
s20285,420,4028,363,363.0
s28329,421,8025,200,200.0
s63165,422,2108,416,416.0
s30225,423,5803,101,101.0
s37112,424,7993,298,298.0
s66479,425,8976,128,128.0
s2568,426,7283,440,440.0
s15451,427,9471,416,416.0
s2633,428,8121,114,114.0
s63120,429,3626,314,314.0
s53148,430,2396,105,105.0
s38995,431,8557,372,372.0
s4325,432,3739,459,459.0
s20180,433,8127,244,244.0
s23911,434,9343,449,449.0
s48861,435,5083,492,492.0
s29210,436,6250,420,420.0
s65249,437,3699,146,146.0
s33603,438,5888,487,487.0
s26627,439,2615,218,218.0
s6313,440,4499,189,189.0
s48206,441,3444,80,80.0
s22959,442,9524,141,141.0
s35995,443,7252,314,314.0
s28061,444,4565,292,292.0
s27265,445,4002,394,394.0
s45221,446,1044,304,304.0
s68261,447,5076,375,375.0
s68103,448,8466,497,497.0
s43192,449,3287,131,131.0
s43443,450,4633,485,485.0
s12890,451,9997,292,292.0
s19094,452,4147,470,470.0
s28414,453,2949,305,305.0
s13725,454,3459,405,405.0
s28520,455,8462,396,396.0
s16641,456,8000,461,461.0
s52265,457,1089,129,129.0
s50554,458,3415,235,235.0
s19214,459,6250,210,210.0
s65826,460,9445,473,473.0
s23396,461,3699,274,274.0
s46153,462,5737,438,438.0
s15455,463,9463,235,235.0
s33055,464,1199,340,340.0
s50999,465,2315,178,178.0
s48136,466,4204,234,234.0
s22163,467,5294,263,263.0
s33698,468,1803,494,494.0
s9996,469,3714,116,116.0
s46803,470,9159,226,226.0
s66157,471,4922,101,101.0
s29002,472,3343,338,338.0
s42282,473,8564,195,195.0
s28765,474,1724,486,486.0
s5804,475,6758,81,81.0
s6517,476,6949,130,130.0
s6562,477,1085,384,384.0
s42381,478,1690,132,132.0
s58898,479,7530,236,236.0
s12249,480,810,210,210.0
s8731,481,4721,284,284.0
s53096,482,8559,62,62.0
s59272,483,3671,309,309.0
s36530,484,8204,433,433.0
s50378,485,5161,158,158.0
s25353,486,3478,361,361.0
s21954,487,5596,283,283.0
s57214,488,166,255,255.0
s50523,489,8337,73,73.0
s716,490,4396,203,203.0
s39023,491,283,371,371.0
s14175,492,4347,257,257.0
s10536,493,9954,442,442.0
s55949,494,1282,152,152.0
s24195,495,1599,347,347.0
s50647,496,1559,378,378.0
s37870,497,1616,222,222.0
s44981,498,1028,498,498.0
s20231,499,3143,220,220.0
s37823,500,2452,107,107.0
s40195,501,1258,198,198.0
s20072,502,8115,458,458.0
s68502,503,4853,143,143.0
s30852,504,2020,178,178.0
s62918,505,7623,452,452.0
s26159,506,3619,91,91.0
s43775,507,6872,365,365.0
s4080,508,4463,216,216.0
s63501,509,7526,68,68.0
s3451,510,5338,397,397.0
s26179,511,4367,457,457.0
s60903,512,7773,154,154.0
s35533,513,7057,437,437.0
s8742,514,6068,151,151.0
s34112,515,849,225,225.0
s48384,516,6323,400,400.0
s45352,517,9880,133,133.0
s47275,518,3890,497,497.0
s11490,519,5055,488,488.0
s52744,520,2967,435,435.0
s25302,521,6351,385,385.0
s48101,522,6697,260,260.0
s28312,523,6270,422,422.0
s16969,524,1541,350,350.0
s37971,525,5915,114,114.0
s13052,526,8543,52,52.0
s1456,527,2412,480,480.0
s11785,528,4745,387,387.0
s47308,529,6845,101,101.0
s28207,530,2841,223,223.0
s54901,531,8372,219,219.0
s29930,532,6339,406,406.0
s66542,533,6250,104,104.0
s50276,534,5219,380,380.0
s42445,535,6672,355,355.0
s40044,536,9810,208,208.0
s58818,537,4865,196,196.0
s22949,538,2815,408,408.0
s7789,539,3315,230,230.0
s24065,540,9638,385,385.0
s68794,541,6122,176,176.0
s35073,542,6349,406,406.0
s59466,543,7482,387,387.0
s5911,544,9894,256,256.0
s20683,545,5253,182,182.0
s2508,546,1070,421,421.0
s21432,547,8723,420,420.0
s68067,548,5523,455,455.0
s43907,549,1538,224,224.0
s42399,550,5270,438,438.0
s27809,551,5917,259,259.0
s9120,552,6168,132,132.0
s42743,553,216,391,391.0
s9307,554,686,325,325.0
s22756,555,4512,250,250.0
s24539,556,8314,427,427.0
s57202,557,8644,455,455.0
s55702,558,8615,328,328.0
s41287,559,7018,301,301.0
s21147,560,1707,420,420.0
s13510,561,3873,332,332.0
s60494,562,820,308,308.0
s21797,563,178,316,316.0
s53588,564,2871,163,163.0
s21178,565,9046,398,398.0
s2580,566,4128,417,417.0
s31805,567,4754,67,67.0
s50993,568,8357,416,416.0
s48823,569,8775,419,419.0
s55064,570,7954,253,253.0
s2972,571,1426,140,140.0
s22334,572,5001,200,200.0
s69668,573,4073,432,432.0
s30486,574,4116,76,76.0
s3736,575,3466,415,415.0
s33742,576,1453,357,357.0
s29930,577,9273,404,405.0
s35068,578,7467,429,429.0
s10816,579,6414,83,83.0
s43917,580,7777,183,183.0
s14292,581,3173,232,232.0
s16400,582,8856,105,105.0
s48334,583,6041,281,281.0
s3290,584,8249,464,464.0
s55132,585,9039,191,191.0
s61137,586,5752,371,371.0
s2822,587,5426,149,149.0
s36858,588,9021,425,425.0
s11267,589,1906,353,353.0
s17755,590,9425,202,202.0
s52331,591,5248,438,438.0
s42873,592,8005,423,423.0
s18935,593,6599,461,461.0
s19912,594,9480,414,414.0
s5600,595,1920,489,489.0
s62866,596,1745,471,471.0
s1505,597,1416,226,226.0
s3952,598,7781,365,365.0
s57182,599,6492,466,466.0
s30018,600,2593,162,162.0
s35167,601,5602,77,77.0
s50535,602,1382,172,172.0
s65187,603,8816,80,80.0
s22675,604,3901,369,369.0
s38492,605,878,402,402.0
s16366,606,6782,478,478.0
s64902,607,8578,259,259.0
s24727,608,2955,207,207.0
s17947,609,6128,348,348.0
s48079,610,2961,327,327.0
s26416,611,5023,277,277.0
s11522,612,3963,370,370.0
s54061,613,1912,168,168.0
s45573,614,4688,406,406.0
s1121,615,4991,244,244.0
s21411,616,1180,191,191.0
s68661,617,237,301,301.0
s6211,618,8853,476,476.0
s16564,619,6825,294,294.0
s36148,620,2696,244,244.0
s37688,621,7981,65,65.0
s6589,622,7976,240,240.0
s49706,623,5604,78,78.0
s54773,624,1976,61,61.0
s65314,625,6157,202,202.0
s24382,626,1826,384,384.0
s11420,627,1491,420,420.0
s29950,628,281,197,197.0
s3960,629,9415,385,385.0
s35930,630,1076,155,155.0
s30003,631,9564,405,405.0
s28352,632,4202,249,249.0
s13526,633,838,213,213.0
s46653,634,7976,145,145.0
s57166,635,9739,191,191.0
s30055,636,296,51,51.0
s68277,637,1842,120,120.0
s4492,638,5591,187,187.0
s12406,639,3779,308,308.0
s4640,640,6433,236,236.0
s59163,641,6038,52,52.0
s26812,642,8131,226,226.0
s65366,643,680,365,365.0
s42427,644,7780,281,281.0
s36396,645,4275,153,153.0
s59182,646,2954,269,269.0
s12632,647,4818,393,393.0
s59258,648,7608,354,354.0
s66999,649,4501,458,458.0
s53981,650,3870,284,284.0
s28076,651,5461,498,498.0
s6472,652,3467,406,406.0
s4108,653,313,418,418.0
s17081,654,507,240,240.0
s1715,655,5420,472,472.0
s42388,656,6659,445,445.0
s40935,657,7661,440,440.0
s5376,658,2306,403,403.0
s55193,659,8000,178,178.0
s24794,660,6374,121,121.0
s5395,661,4926,493,493.0
s40440,662,1649,144,144.0
s44797,663,6167,156,156.0
s26248,664,502,191,191.0
s36660,665,7220,272,272.0
s6215,666,945,124,124.0
s40859,667,1674,145,145.0
s58153,668,7710,451,451.0
s42606,669,5458,288,288.0
s39702,670,4289,427,427.0
s21091,671,3435,446,446.0
s24380,672,1792,58,58.0
s65893,673,876,403,403.0
s35835,674,311,483,483.0
s54276,675,2788,325,325.0
s35302,676,8678,498,498.0
s12416,677,3795,218,218.0
s25972,678,4946,64,64.0
s67275,679,2815,344,344.0
s40446,680,7297,221,221.0
s35800,681,3234,371,371.0
s3716,682,7678,382,382.0
s36265,683,6741,93,93.0
s8204,684,3569,483,483.0
s35806,685,3445,129,129.0
s35752,686,4196,330,330.0
s67622,687,7991,477,477.0
s9347,688,6553,270,270.0
s53153,689,8667,84,84.0
s32825,690,7943,71,71.0
s15310,691,494,304,304.0
s48262,692,4664,489,489.0
s27123,693,859,291,291.0
s22618,694,7357,185,185.0
s46130,695,6965,173,173.0
s24537,696,4200,287,287.0
s69256,697,1260,500,500.0
s20234,698,6521,409,409.0
s39902,699,6315,267,267.0
s57565,700,2389,413,413.0
s13536,701,5617,57,57.0
s24229,702,8092,312,312.0
s65619,703,6674,377,377.0
s27963,704,2750,122,122.0
s68913,705,8471,407,407.0
s11567,706,3546,53,53.0
s61213,707,8016,262,262.0
s34,708,3424,288,288.0
s45110,709,5990,86,86.0
s48550,710,3093,92,92.0
s21220,711,8008,254,254.0
s37344,712,1328,251,251.0
s4787,713,5868,316,316.0
s352,714,8915,421,421.0
s32397,715,9974,236,236.0
s43853,716,4198,116,116.0
s2070,717,701,84,84.0
s13980,718,2002,253,253.0
s68084,719,6767,72,72.0
s8939,720,9267,80,80.0
s38257,721,4402,158,158.0
s46950,722,9438,212,212.0
s18460,723,6031,297,297.0
s22855,724,1830,417,417.0
s12918,725,3133,63,63.0
s18924,726,2074,309,311.5
s51859,727,829,413,415.0
s1345,728,7269,182,182.0
s61886,729,8354,163,163.0
s18977,730,4163,93,93.0
s2114,731,9570,67,67.0
s65420,732,7148,389,389.0
s60812,733,6459,464,464.0
s3361,734,2066,318,318.0
s5196,735,9415,219,219.0
s37661,736,4860,360,360.0
s61743,737,3358,110,110.0
s25898,738,8909,93,93.0
s51851,739,1213,448,448.0
s13721,740,757,459,459.0
s27813,741,6871,442,442.0
s69110,742,6029,251,251.0
s1119,743,8440,247,247.0
s51947,744,2619,487,487.0
s46669,745,1289,235,235.0
s39685,746,3686,241,241.0
s37289,747,5322,483,483.0
s11375,748,2328,211,211.0
s11034,749,6047,144,144.0
s13370,750,9920,51,51.0
s20344,751,7203,383,383.0
s41713,752,3273,268,268.0
s21105,753,1471,168,168.0
s66397,754,4167,263,263.0
s55647,755,1473,182,182.0
s58576,756,3839,357,357.0
s713,757,1503,155,155.0
s66847,758,7651,457,457.0
s23329,759,2627,474,474.0
s46984,760,6055,200,200.0
s20325,761,1287,245,245.0
s51232,762,284,330,330.0
s55945,763,4959,127,127.0
s61155,764,188,195,195.0
s67625,765,2025,444,444.0
s41608,766,694,446,446.0
s58956,767,7611,492,492.0
s46339,768,9425,422,422.0
s32681,769,4981,137,137.0
s68586,770,5912,346,346.0
s41357,771,9246,255,255.0
s48205,772,5426,196,196.0
s64337,773,1959,393,393.0
s55112,774,8125,317,317.0
s3700,775,5415,253,253.0
s2056,776,1157,192,192.0
s38935,777,8890,223,223.0
s58300,778,5940,317,317.0
s5149,779,7087,248,248.0
s18521,780,9332,496,496.0
s6960,781,2481,360,360.0
s59778,782,1268,150,150.0
s692,783,8515,215,215.0
s64273,784,2984,57,57.0
s23804,785,4617,393,393.0
s1682,786,3769,451,451.0
s14896,787,8587,492,492.0
s17963,788,5706,172,172.0
s58066,789,651,363,363.0
s22834,790,6752,80,80.0
s59828,791,7969,150,150.0
s29844,792,2835,333,333.0
s31756,793,5971,480,480.0
s62708,794,1795,290,290.0
s28998,795,7076,448,448.0
s65160,796,5747,153,153.0
s41199,797,2998,358,358.0
s61519,798,3276,366,366.0
s43252,799,5558,174,174.0
s16462,800,502,162,162.0
s63589,801,2890,99,99.0
s67896,802,270,271,271.0
s13947,803,9047,323,323.0
s42181,804,695,68,68.0
s5441,805,197,447,447.0
s65329,806,9780,50,50.0
s11636,807,1677,298,298.0
s60413,808,1988,225,225.0
s31947,809,874,477,477.0
s40165,810,3339,233,233.0
s47133,811,7663,276,276.0
s46624,812,7771,327,327.0
s2356,813,2079,70,70.0
s53905,814,6486,59,59.0
s33418,815,5175,139,139.0
s62610,816,7252,459,459.0
s35428,817,6375,287,287.0
s48348,818,6703,86,86.0
s26367,819,7587,85,85.0
s33271,820,9594,157,157.0
s26384,821,5020,471,471.0
s41681,822,145,61,61.0
s22489,823,2918,381,381.0
s2124,824,3162,176,176.0
s21233,825,5067,117,117.0
s42550,826,5243,398,398.0
s33486,827,3754,120,120.0
s29325,828,2783,181,181.0
s15669,829,4566,329,329.0
s23845,830,3877,486,486.0
s28195,831,8974,283,283.0
s57398,832,7047,82,82.0
s66031,833,6930,447,447.0
s36543,834,4988,236,236.0
s52971,835,7994,64,64.0
s63536,836,1455,210,210.0
s59285,837,8398,314,314.0
s42193,838,9835,384,384.0
s58087,839,9529,465,465.0
s17156,840,2992,477,477.0
s56205,841,5280,434,434.0
s48110,842,3659,59,59.0
s67895,843,8475,390,390.0
s6798,844,8233,115,115.0
s27454,845,7315,207,207.0
s23558,846,6667,108,108.0
s47211,847,4984,145,145.0
s13572,848,2519,189,189.0
s30120,849,7922,301,301.0
s52748,850,5095,270,270.0
s39012,851,1428,151,151.0
s40138,852,1922,67,67.0
s32745,853,989,347,347.0
s41779,854,7826,285,285.0
s68078,855,6996,234,234.0
s27189,856,1050,281,281.0
s51027,857,7781,210,210.0
s16599,858,6010,80,80.0
s36465,859,2987,448,448.0
s6602,860,9025,370,370.0
s54124,861,2677,444,444.0
s33368,862,1211,447,447.0
s49776,863,1764,76,76.0
s46207,864,5847,104,104.0
s41098,865,3281,144,144.0
s47894,866,7730,357,357.0
s40843,867,4771,383,383.0
s23553,868,8521,198,198.0
s11501,869,5574,474,474.0
s60198,870,1848,303,303.0
s34493,871,7522,122,122.0
s61616,872,4593,52,52.0
s42636,873,8896,460,460.0
s49136,874,7508,268,268.0
s16110,875,8274,261,261.0
s33240,876,6898,84,84.0
s45744,877,9238,386,386.0
s47387,878,165,241,241.0
s19229,879,6507,170,170.0
s12678,880,5380,298,298.0
s53828,881,6895,499,499.0
s41116,882,9484,129,129.0
s3194,883,586,430,430.0
s33715,884,6548,123,123.0
s22483,885,5011,233,233.0
s58313,886,8775,69,69.0
s57390,887,9443,491,491.0
s26850,888,8244,211,211.0
s24670,889,3865,378,378.0
s7164,890,1236,191,191.0
s7561,891,3146,256,256.0
s52302,892,5802,115,115.0
s25954,893,7494,253,253.0
s60588,894,5276,126,126.0
s45892,895,1468,241,241.0
s64145,896,1418,405,405.0
s60690,897,873,354,354.0
s38822,898,6572,311,311.0
s5591,899,3930,414,414.0
s22112,900,6406,488,488.0
s25754,901,7802,324,324.0
s16205,902,9217,110,110.0
s58831,903,3158,297,297.0
s8336,904,6368,207,207.0
s39775,905,4628,148,148.0
s20266,906,1526,258,258.0
s40003,907,5739,165,165.0
s9559,908,2599,265,265.0
s55640,909,2023,440,440.0
s20961,910,3633,340,340.0
s30086,911,591,390,390.0
s55460,912,5954,388,388.0
s15212,913,6517,266,266.0
s5006,914,6758,226,226.0
s13442,915,6678,52,52.0
s51905,916,301,476,476.0
s15006,917,8324,252,252.0
s20031,918,1680,65,65.0
s39957,919,5420,121,121.0
s61629,920,9862,133,133.0
s2794,921,1017,140,140.0
s29715,922,7711,182,182.0
s62880,923,3936,307,307.0
s51458,924,8199,399,399.0
s24102,925,1912,289,289.0
s31252,926,9445,401,401.0
s40390,927,3657,280,280.0
s59937,928,1961,376,376.0
s50756,929,5357,90,90.0
s58174,930,2222,452,452.0
s65184,931,6042,454,454.0
s38682,932,1417,409,409.0
s30419,933,997,238,238.0
s14409,934,228,356,356.0
s49485,935,7440,92,92.0
