stocksymbol,time,quantity,price
s49551,183,8783,312
s4422,184,8369,436
s22784,185,4069,141
s14615,186,8357,362
s30658,187,7345,397
s33062,188,1982,70
s40166,189,6167,287
s4573,190,5369,185
s10330,191,9040,464
s41510,192,1372,109
s12669,193,1338,437
s36142,194,8859,57
s48162,195,9252,96
s23474,196,6809,273
s37930,197,249,420
s25284,198,9039,341
s40287,199,9120,498
s1128,200,9978,105
s11095,201,2027,129
s24858,202,8431,107
s34183,203,5008,297
s36736,204,1714,186
s37095,205,3993,332
s9910,206,4955,66
s38696,207,1858,451
s14832,208,1578,223
s39448,209,4744,64
s4169,210,3406,150
s15053,211,5673,363
s26731,212,7059,479
s9983,213,9660,78
s48156,214,1093,500
s11992,215,7626,70
s34448,216,5479,210
s35933,217,3435,58
s48728,218,7119,498
s15373,219,2301,423
s47631,220,8155,278
s29719,221,1456,332
s36507,222,6971,349
s19987,223,8571,260
s43354,224,8878,499
s5733,225,3362,80
s772,226,1922,277
s4788,227,8201,266
s26194,228,2992,257
s4549,229,973,363
s16347,230,4256,425
s37944,231,2487,416
s41830,232,7961,397
s10596,233,5135,239
s29014,234,4128,290
s3543,235,9926,240
s11280,236,6677,366
s45169,237,6927,331
s20937,238,2809,252
s36078,239,1055,412
s47526,240,6697,359
s32275,241,2466,337
s24764,242,410,207
s17022,243,2043,280
s4642,244,6219,334
s39163,245,8887,394
s45727,246,3680,71
s10401,247,3986,164
s39572,248,5695,76
s11198,249,546,160
s25286,250,7374,246
s12226,251,6545,70
s41445,252,653,142
s33927,253,8611,494
s20114,254,5235,217
s28529,255,1089,156
s29660,256,9201,496
s6522,257,4690,397
s834,258,7292,448
s38155,259,1417,53
s23113,260,6976,314
s37712,261,8187,149
s11466,262,1318,289
s21875,263,4156,270
s29134,264,7438,477
s36167,265,2541,177
s40286,266,1391,79
s48601,267,2068,414
s42661,268,597,369
s21107,269,4840,230
s35836,270,9559,287
s49503,271,5915,389
s49484,272,1802,177
s715,273,600,105
s13451,274,2813,55
s27570,275,8276,164
s37334,276,468,478
s27458,277,9011,89
s30884,278,6255,152
s40903,279,4833,306
s26892,280,1974,92
s8333,281,444,440
s19390,282,5655,60
s5601,283,2303,445
s260,284,7677,441
s22321,285,2839,470
s44285,286,5514,381
s42920,287,7282,457
s10236,288,7583,449
s32485,289,2925,271
s15260,290,1466,488
s33762,291,5313,322
s3234,292,5168,449
s31534,293,4071,248
s44229,294,1941,408
s30449,295,2758,304
s1947,296,3215,229
s38905,297,9296,233
s16529,298,9023,386
s36312,299,2501,198
s37390,300,3291,202
s38044,301,8709,495
s11005,302,2604,123
s47215,303,8697,471
s37561,304,217,489
s28076,305,8448,219
s44147,306,7438,244
s23621,307,2861,388
s38534,308,3559,247
s5156,309,2898,171
s18973,310,9538,92
s32197,311,6815,416
s10568,312,1827,450
s26133,313,4195,430
s38628,314,5653,459
s29209,315,132,123
s48628,316,5186,323
s28141,317,5727,493
s29404,318,5302,450
s33425,319,2994,222
s19782,320,6505,313
s43901,321,7409,404
s9185,322,945,318
s43410,323,8879,70
s44249,324,6520,406
s40050,325,3484,229
s15944,326,7956,451
s31937,327,2429,457
s37439,328,9590,307
s43855,329,9894,331
s49469,330,2510,72
s25110,331,5759,206
s45376,332,1631,172
s17168,333,7765,489
s23459,334,2918,329
s5692,335,3015,364
s31779,336,1681,140
s42607,337,7284,92
s31495,338,6645,195
s7085,339,3899,106
s10540,340,6691,367
s32124,341,5575,463
s22005,342,9087,80
s4433,343,1089,451
s19002,344,6826,317
s4389,345,4442,88
s39642,346,1349,462
s45820,347,7101,67
s30982,348,2796,372
s2587,349,988,491
s19409,350,1132,136
s48759,351,2472,494
s7943,352,1841,437
s30367,353,2340,231
s3724,354,8937,451
s49979,355,5145,452
s18856,356,8146,442
s10806,357,2603,171
s404,358,8678,285
s43214,359,5202,313
s11957,360,4772,309
s19801,361,9454,405
s14378,362,3823,440
s42619,363,6797,342
s21802,364,8389,57
s43039,365,2204,135
s20541,366,5605,73
s46025,367,9316,103
s31398,368,3652,241
s43243,369,7753,411
s10597,370,9307,449
s42149,371,1597,160
s18934,372,7799,406
s34326,373,4479,142
s22710,374,1837,205
s25656,375,1387,212
s12154,376,7805,61
s47004,377,9400,359
s8393,378,6236,117
s48566,379,2106,81
s40703,380,4455,256
s40081,381,178,225
s33254,382,8887,353
s15336,383,9373,133
s16085,384,6724,111
s31814,385,1909,62
s7538,386,4985,474
s37627,387,4859,423
s24673,388,8060,430
s21446,389,6858,392
s5252,390,1887,409
s16349,391,4786,343
s34395,392,4452,152
s12101,393,4934,56
s6504,394,5790,81
s6137,395,1396,168
s34997,396,6904,306
s10135,397,1753,475
s40304,398,9981,206
s8094,399,6175,282
s25569,400,5255,464
s47144,401,4316,409
s12547,402,6036,136
s28385,403,3705,211
s12642,404,6164,435
s17711,405,8498,358
s31090,406,7751,114
s45252,407,9645,463
s25516,408,5273,236
s19293,409,150,229
s452,410,6076,125
s5370,411,4693,85
s13616,412,1724,51
s22078,413,8611,299
s45585,414,1532,216
s35739,415,5104,55
s46000,416,9341,136
s19889,417,2927,366
s24541,418,3297,198
s31944,419,6804,254
s1257,420,2850,355
s23662,421,7483,131
s406,422,6106,418
s12970,423,4926,333
s49628,424,3766,230
s38817,425,4597,456
s22342,426,6174,416
s18585,427,9805,212
s45643,428,7543,145
s14005,429,7169,156
s24372,430,5027,315
s11940,431,6238,465
s25013,432,5601,388
s38015,433,229,74
s35743,434,2632,177
s4156,435,598,361
s44526,436,7662,131
s47076,437,9849,243
s31519,438,7587,446
s46248,439,8924,498
s1963,440,2687,327
s47432,441,6597,243
s19912,442,1399,343
s9646,443,8408,120
s10480,444,8488,217
s12391,445,505,187
s45812,446,778,264
s45826,447,2193,77
s39119,448,9427,377
s6093,449,5114,491
s46061,450,3687,458
s46476,451,4728,108
s4455,452,272,127
s9206,453,3927,417
s3244,454,381,104
s39867,455,3311,76
s37242,456,1906,457
s28857,457,1236,175
s17358,458,2372,249
s16400,459,4064,176
s45414,460,9893,325
s12739,461,9148,259
s10390,462,8535,202
s41017,463,9799,258
s40025,464,7080,263
s18259,465,8793,257
s10587,466,8006,152
s26270,467,4619,426
s25396,468,8490,113
s15489,469,5924,400
s36767,470,4027,342
s34523,471,1513,143
s30485,472,2857,91
s28476,473,9926,57
s16096,474,4263,148
s3482,475,6665,66
s35976,476,5288,264
s7038,477,9457,78
s31834,478,4486,438
s45488,479,3992,261
s15212,480,5066,407
s16761,481,4270,181
s23032,482,6338,435
s24455,483,4365,204
s23590,484,2355,381
s33661,485,1183,416
s512,486,1346,57
s14957,487,6821,276
s37637,488,332,365
s25395,489,833,234
s34536,490,3520,374
s31398,491,715,239
s35717,492,2902,259
s43904,493,1568,493
s22233,494,5645,98
s5470,495,9199,286
s1761,496,1780,66
s33466,497,4314,60
s32988,498,5106,191
s34635,499,7112,183
s6945,500,6665,167
s31135,501,8804,345
s10418,502,9264,346
s16522,503,2582,122
s47296,504,8576,208
s16478,505,730,83
s35192,506,5143,422
s22328,507,4306,427
s3783,508,8050,342
s10280,509,848,406
s22960,510,5648,374
s33769,511,8189,378
s16932,512,3693,216
s40944,513,8398,81
s49304,514,5545,187
s12398,515,1895,270
s35006,516,4084,103
s16453,517,8477,358
s47801,518,2721,480
s7706,519,7366,232
s18712,520,725,441
s35443,521,127,261
s12053,522,9368,480
s17376,523,2699,102
s22172,524,5586,147
s35789,525,506,399
s7968,526,343,216
s6453,527,485,412
s36904,528,6925,413
s16636,529,8022,415
s7956,530,4772,442
s46101,531,8351,371
s41967,532,2126,446
s45201,533,7400,364
s17135,534,8902,413
s6274,535,9404,78
s21324,536,3403,396
s46640,537,3938,66
s41877,538,4044,353
s4828,539,3950,297
s18912,540,5959,448
s39966,541,8471,103
s45835,542,3620,409
s49541,543,119,403
s35436,544,1736,479
s20031,545,2327,95
s14015,546,7626,61
s15129,547,9694,410
s32954,548,4761,195
s40525,549,9745,215
s16176,550,7680,85
s45586,551,8931,83
s21048,552,3485,180
s28398,553,1968,81
s40447,554,3122,490
s48007,555,9863,63
s26588,556,7240,110
s10438,557,6462,340
s42193,558,1713,474
s21618,559,9002,441
s18751,560,5555,158
s34861,561,6911,89
s40428,562,1034,262
s9239,563,8281,64
s29477,564,7779,252
s16772,565,9746,243
s33734,566,7980,53
s23169,567,3133,216
s31166,568,8764,368
s17780,569,2113,483
s13915,570,2218,293
s3676,571,1820,290
s32078,572,7987,174
s40147,573,2690,253
s14960,574,8930,384
s25237,575,5459,415
s6416,576,8199,323
s22918,577,1260,80
s3937,578,5741,426
s18934,579,2209,409
s39417,580,9820,198
s36982,581,1127,259
s30607,582,9137,460
s39226,583,7046,458
s3025,584,3929,87
s39371,585,8299,232
s25201,586,6186,114
s25125,587,5298,262
s19829,588,7606,243
s46014,589,8039,326
s9510,590,7284,362
s39356,591,144,214
s26945,592,5027,112
s26199,593,1427,266
s46897,594,6337,355
s36131,595,1635,94
s18850,596,5962,156
s38642,597,4827,60
s13254,598,5288,124
s28719,599,5080,121
s22633,600,7054,481
s24291,601,9959,443
s32406,602,6842,388
s38171,603,9698,453
s18865,604,7162,341
s34015,605,7408,260
s48422,606,8559,268
s41187,607,9445,467
s39039,608,266,76
s38267,609,7757,335
s46156,610,2962,307
s15930,611,2051,254
s9222,612,293,183
s49435,613,1973,440
s21318,614,4093,303
s17490,615,9770,493
s18019,616,7047,188
s22311,617,782,198
s16409,618,9366,498
s18432,619,7983,71
s25742,620,3553,332
s35626,621,3949,206
s25332,622,1655,51
s27786,623,4005,85
s20722,624,1752,87
s39756,625,6155,232
s49146,626,8041,435
s12395,627,7982,77
s5801,628,1239,325
s33377,629,3742,56
s36950,630,7837,309
s15913,631,5108,363
s38959,632,430,308
s5085,633,3063,434
s41827,634,4204,227
s9514,635,6277,57
s15633,636,4845,168
s24737,637,2592,62
s45881,638,2054,150
s36216,639,822,127
s17505,640,2203,150
s22468,641,9440,443
s14130,642,4191,382
s14387,643,5793,188
s46978,644,942,176
s1216,645,6220,280
s16912,646,1440,169
s19254,647,3349,441
s18444,648,9275,183
s3274,649,4227,298
s45715,650,2726,370
s23098,651,7749,332
s5002,652,1303,116
s11116,653,1923,355
s20126,654,6489,382
s25720,655,5235,377
s44357,656,7968,168
s43089,657,6159,93
s48094,658,5376,386
s488,659,4812,340
s5484,660,6326,74
s35105,661,6414,271
s32391,662,1114,279
s1458,663,7220,259
s20997,664,4463,298
s2170,665,1577,125
s616,666,4563,157
s26116,667,4839,424
s24949,668,6733,378
s4952,669,9307,162
s37052,670,4400,319
s19385,671,5457,201
s41302,672,9812,283
s33573,673,5685,104
s7317,674,5482,478
s30996,675,8116,355
s37440,676,8674,478
s49898,677,780,62
s40339,678,5239,481
s7517,679,8446,168
s8152,680,2524,266
s10563,681,9674,291
s3672,682,4002,257
s47680,683,963,272
s17915,684,3898,429
s10275,685,1065,86
s13398,686,7293,478
s46552,687,8616,373
s31011,688,2637,469
s21915,689,1582,433
s2694,690,770,364
s15234,691,5614,369
s46786,692,3008,305
s7562,693,9175,174
s24702,694,3923,141
s11699,695,8841,220
s15088,696,6249,471
s14469,697,9288,167
s43810,698,4388,212
s45735,699,2004,88
s40725,700,7092,223
s9120,701,1011,472
s5386,702,6390,227
s11597,703,1600,210
s5272,704,1637,160
s588,705,8540,126
s11905,706,2900,134
s16864,707,6903,128
s21580,708,3325,244
s43123,709,5659,311
s40059,710,9078,167
s10490,711,4596,418
s1452,712,6433,483
s34886,713,877,219
s10215,714,2562,67
s10902,715,5057,329
s14013,716,9027,122
s15942,717,5290,124
s27790,718,6326,469
s28765,719,7747,398
s45226,720,9952,89
s45653,721,3258,460
s24381,722,8385,306
s39380,723,6229,96
s14033,724,5909,307
s46195,725,6673,345
s45315,726,4770,498
s7552,727,719,363
s41789,728,4992,476
s30284,729,8532,494
s45581,730,7728,89
s41670,731,8759,321
s47622,732,2354,354
s10651,733,1423,375
s1361,734,7749,323
s41779,735,197,442
s2676,736,8240,250
s12386,737,6970,100
s29822,738,6039,180
s34921,739,5957,410
s25035,740,8601,427
s24586,741,232,386
s11393,742,7101,103
s34090,743,8627,275
s5765,744,962,63
s20195,745,1418,160
s14195,746,6872,210
s24559,747,1221,433
s40554,748,3125,54
s33084,749,1139,265
s1671,750,3413,234
s9267,751,7400,251
s26530,752,9980,103
s30340,753,4027,257
s37826,754,5172,380
s16133,755,7403,143
s33158,756,5539,353
s29318,757,9075,470
s600,758,5934,245
s47529,759,9007,188
s25812,760,2997,465
s16368,761,1755,417
s44592,762,2913,116
s42427,763,8489,358
s20329,764,8777,212
s49861,765,3508,442
s12601,766,5364,467
s21078,767,4218,468
s37869,768,1772,183
s11933,769,4111,68
s41141,770,1651,376
s12132,771,9537,178
s37322,772,3027,252
s6457,773,7656,169
s18120,774,6645,148
s2929,775,2539,216
s27761,776,1847,231
s5962,777,4002,96
s34253,778,818,413
s17705,779,4407,381
s8881,780,3770,61
s40727,781,8982,64
s25691,782,4869,214
s16566,783,3729,95
s8902,784,648,445
s27204,785,699,137
s15336,786,5409,137
s44929,787,840,201
s24179,788,7451,240
s984,789,4913,408
s5473,790,7973,273
s26548,791,9884,94
s10866,792,7730,105
s9870,793,3702,226
s5733,794,9348,80
s4501,795,1205,378
s40732,796,8415,193
s2662,797,6860,472
s40959,798,9608,405
s18656,799,1790,292
s256,800,2556,310
s14478,801,5035,292
s13667,802,1500,123
s18525,803,7507,107
s45557,804,9954,127
s16253,805,8114,137
s13409,806,5081,93
s5600,807,8944,410
s32511,808,8073,325
s39079,809,3395,466
s23315,810,4020,169
s28597,811,3559,78
s46859,812,7037,236
s8158,813,5761,386
s8930,814,7479,444
s44122,815,6605,85
s47009,816,4063,232
s44642,817,5716,117
s15747,818,2375,52
s25795,819,2621,116
s5438,820,7368,367
s42756,821,7214,100
s11648,822,8126,283
s41808,823,551,67
s46843,824,1531,466
s47612,825,2920,323
s5569,826,851,332
s38570,827,5742,448
s41583,828,5708,403
s41538,829,1212,281
s40076,830,3078,382
s2623,831,9777,188
s38927,832,9046,330
s46007,833,9872,331
s19408,834,4149,163
s34609,835,1987,97
s44352,836,9330,311
s17441,837,9471,271
s215,838,9122,175
s33334,839,6038,204
s9061,840,652,238
s41411,841,2366,396
s42078,842,5410,378
s18804,843,6598,452
s11964,844,4262,60
s33454,845,6429,62
s39289,846,5696,252
s1644,847,5134,156
s16325,848,2345,499
s28135,849,276,75
s3090,850,8468,331
s5287,851,5618,55
s3418,852,9528,85
s4440,853,5573,305
s2024,854,3025,305
s22099,855,5442,51
s4926,856,7157,409
s13650,857,4154,391
s18467,858,6866,137
s1352,859,2598,358
s288,860,8893,140
s31325,861,2748,218
s26903,862,299,226
s3038,863,4102,310
s6943,864,6508,213
s36639,865,3222,97
s19941,866,2218,150
s35595,867,5279,336
s31268,868,4453,315
s12552,869,4450,128
s21361,870,1099,342
s39840,871,4439,97
s26453,872,8679,189
s2552,873,4941,191
s2601,874,7166,414
s36805,875,2664,446
s26913,876,824,187
s16391,877,3169,207
s4524,878,5622,425
s46587,879,8284,375
s14964,880,9687,289
s35099,881,3159,279
s44366,882,3248,443
s18456,883,1531,458
s26250,884,4068,392
s20833,885,2762,472
s40175,886,1541,105
s37897,887,8450,67
s36509,888,8455,493
s44938,889,2716,390
s48330,890,9785,163
s26146,891,8991,68
s26587,892,7600,190
s8771,893,3612,320
s2914,894,5725,442
s9213,895,7610,477
s42014,896,2919,361
s17647,897,839,169
s30262,898,2326,93
s27226,899,7142,221
s8578,900,2104,471
s49566,901,5299,500
s15590,902,6098,268
s18411,903,7561,171
s24323,904,3208,274
s15418,905,6258,87
s41226,906,894,282
s48767,907,2358,455
s40155,908,7298,289
s23097,909,9227,497
s34402,910,8041,422
s19769,911,6945,372
s39768,912,5503,378
s23933,913,8108,170
s48935,914,2586,198
s41942,915,6975,63
s41789,916,6128,481
s25679,917,7907,434
s24010,918,682,228
s7382,919,384,119
s8836,920,1581,98
s39526,921,9903,120
s7864,922,5522,55
s21327,923,6159,311
s44471,924,3683,252
s9539,925,8643,493
s17584,926,2863,218
s35931,927,1165,284
s30477,928,889,376
s39310,929,2528,193
s17232,930,5887,385
s34636,931,6165,382
s7929,932,2516,242
s18685,933,7538,180
s20907,934,7231,340
s4179,935,3970,196
s24990,936,5076,147
s9766,937,3022,437
s22335,938,2257,132
s29000,939,9124,148
s41474,940,7397,476
s27254,941,2895,473
s48891,942,1317,150
s26029,943,230,144
s5279,944,8203,157
s26044,945,3155,114
s43862,946,600,204
s4411,947,5063,330
s23731,948,4827,54
s16003,949,506,56
s36087,950,4579,231
s29491,951,3651,203
s16798,952,4832,190
s6820,953,6542,466
s44279,954,3130,470
s15979,955,2872,305
s32459,956,2284,306
s6723,957,1268,302
s13219,958,2615,297
s20665,959,2986,191
s40766,960,4070,151
s15661,961,4398,289
s46450,962,7442,135
s36166,963,445,185
s1607,964,8822,455
s21373,965,4415,196
s31921,966,4026,471
s33651,967,8111,498
s31055,968,2487,376
s899,969,9153,468
s3776,970,2564,222
s7395,971,6122,342
s23845,972,9997,207
s3858,973,9232,197
s12145,974,9256,133
s17586,975,8229,228
s31988,976,9559,248
s6450,977,6072,238
s27003,978,9854,332
s35851,979,8166,272
s11192,980,9569,178
s298,981,1842,171
s44841,982,503,51
s24798,983,8397,459
s14333,984,7287,97
s20527,985,969,266
s19428,986,2505,162
s31830,987,5601,443
s40888,988,1895,251
s18253,989,9336,159
s19219,990,1870,308
s1442,991,3111,393
s7215,992,4423,431
s16656,993,4631,477
s35026,994,6435,394
s42553,995,4808,347
s5437,996,5379,482
s44110,997,6641,408
s34347,998,6381,393
s43206,999,5571,255
s47950,1000,6893,55
s5839,1001,3115,390
s42549,1002,559,302
s35520,1003,7087,381
s6502,1004,2419,193
s38321,1005,5221,90
s1204,1006,3995,423
s43379,1007,1076,347
s33973,1008,6787,107
s29681,1009,2406,285
s27311,1010,3798,199
s6980,1011,8648,478
s10784,1012,5561,472
s14450,1013,7976,462
s39650,1014,9915,443
s28586,1015,5167,369
s12234,1016,4990,88
s35270,1017,9221,197
s14739,1018,4986,134
s10081,1019,7239,214
s44801,1020,4643,347
s21500,1021,5337,164
s20805,1022,7308,70
s17671,1023,6131,291
s3359,1024,5857,189
s4817,1025,4947,92
s36756,1026,5515,312
s23609,1027,7662,207
s21127,1028,4547,355
s39614,1029,2102,224
s26877,1030,293,138
s12919,1031,2404,130
s7094,1032,9870,218
s34549,1033,1201,429
s42515,1034,9023,428
s16193,1035,6209,389
s1249,1036,9310,355
s8470,1037,7285,242
s43207,1038,8536,93
s37612,1039,1325,244
s11521,1040,5269,230
s49992,1041,189,474
s45775,1042,8652,361
s39046,1043,1950,208
s46355,1044,9857,81
s36378,1045,8688,275
s1701,1046,7014,359
s16911,1047,9344,110
s40374,1048,6181,288
s44879,1049,4666,333
s33369,1050,589,80
s31167,1051,5050,423
s897,1052,8364,393
s45720,1053,7076,445
s48993,1054,9551,72
s21886,1055,8703,389
s800,1056,316,492
s38286,1057,2641,242
s8019,1058,8256,422
s40624,1059,8525,123
s5175,1060,2736,180
s4810,1061,9490,57
s47730,1062,9970,448
s45507,1063,3990,208
s32969,1064,2251,448
s31177,1065,8288,187
s25641,1066,9964,280
s45856,1067,8357,201
s28992,1068,7591,214
s5008,1069,2896,134
s33208,1070,8360,454
s26986,1071,1143,239
s29922,1072,5629,89
s15997,1073,5281,257
s23626,1074,3142,477
s15730,1075,4987,364
s8602,1076,3935,428
s46510,1077,8119,121
s38475,1078,9803,357
s27699,1079,5271,461
s40885,1080,2322,67
s2339,1081,4564,155
s6009,1082,659,98
s17634,1083,6733,79
s40921,1084,4826,121
s2627,1085,6887,489
s1310,1086,3874,433
s8976,1087,8199,239
s29420,1088,9927,377
s29462,1089,7959,403
s42108,1090,3099,342
s34378,1091,8398,206
s28700,1092,6497,371
s3226,1093,8608,235
s42799,1094,8435,463
s26550,1095,5698,284
s17539,1096,6829,65
s32067,1097,6178,58
s44360,1098,5376,290
s7313,1099,6056,355
s6983,1100,9529,291
s2705,1101,6005,414
s36481,1102,3324,426
s12011,1103,2772,468
s986,1104,9421,395
s30685,1105,1453,322
s23701,1106,8757,444
s10219,1107,1853,368
s31021,1108,4261,70
s39401,1109,5735,193
s44772,1110,8304,480
s32563,1111,4217,261
s12912,1112,5964,138
s23859,1113,9610,91
s35423,1114,8853,349
s11111,1115,3297,234
s4256,1116,8658,76
s45619,1117,6085,329
s24009,1118,3332,75
s18689,1119,7372,247
s20745,1120,9025,120
s12130,1121,124,212
s11412,1122,4213,491
s3870,1123,2324,254
s24995,1124,487,122
s49675,1125,4662,191
s798,1126,2163,411
s14864,1127,2076,97
s28777,1128,8023,417
s33894,1129,3842,434
s41319,1130,8343,194
s246,1131,6411,128
s7843,1132,7483,184
s4526,1133,4184,415
s7744,1134,6836,336
s14786,1135,5154,327
s11348,1136,6054,67
s30165,1137,7354,61
s6605,1138,1191,172
s18752,1139,5054,121
s26515,1140,2960,166
s15989,1141,5413,421
s8412,1142,5292,431
s26326,1143,484,191
s29785,1144,5121,406
s23969,1145,515,240
s13113,1146,8289,419
s4957,1147,1915,76
s8110,1148,7169,116
s31701,1149,628,310
s29267,1150,638,128
s1081,1151,148,108
s24875,1152,1782,76
s12804,1153,4305,95
s32584,1154,2461,235
s28331,1155,8454,309
s44871,1156,6833,402
s7648,1157,821,199
s1460,1158,9890,385
s49188,1159,6532,50
s43624,1160,2334,379
s45549,1161,2746,210
s42139,1162,827,368
s3873,1163,2838,401
s10981,1164,611,113
s17868,1165,1822,365
s35001,1166,8978,307
s2375,1167,5427,222
s22332,1168,2779,252
s7029,1169,1493,300
s35847,1170,2388,314
s38582,1171,2326,300
s39027,1172,758,115
s30250,1173,6272,111
s13331,1174,2217,241
s8815,1175,9340,115
s48277,1176,7308,347
s47222,1177,8155,257
s34317,1178,174,178
s43677,1179,845,143
s43105,1180,7489,106
s38329,1181,8831,493
s1845,1182,3561,448
s47205,1183,327,455
s49899,1184,2011,55
s32670,1185,913,313
s12456,1186,4548,348
s24165,1187,5831,125
s47491,1188,5706,183
s13894,1189,737,491
s23587,1190,241,431
s41279,1191,3561,236
s23348,1192,1937,444
s2918,1193,9177,310
s24927,1194,3573,191
s30507,1195,5281,302
s49773,1196,6396,477
s7350,1197,4749,338
s3497,1198,4998,276
s21415,1199,8384,388
s42768,1200,9782,282
s11388,1201,2639,247
s19670,1202,9603,373
s14439,1203,1257,92
s9436,1204,6739,383
s22854,1205,1400,260
s6898,1206,4329,249
s26657,1207,6358,251
s28813,1208,3651,144
s28093,1209,7234,270
s19825,1210,3757,391
s22124,1211,1419,280
s5325,1212,8994,119
s21760,1213,9874,275
s8811,1214,8348,470
s8456,1215,7630,245
s27856,1216,8997,407
s43512,1217,2548,199
s270,1218,6169,316
s38382,1219,5063,309
s4716,1220,5321,94
s26891,1221,6554,270
s35461,1222,3085,268
s47607,1223,3752,225
s2061,1224,7304,451
s47024,1225,5402,201
s32631,1226,8458,438
s2913,1227,4905,218
s47390,1228,2934,203
s31244,1229,598,473
s40866,1230,5770,186
s36473,1231,1941,261
s38348,1232,8873,150
s8244,1233,3365,111
s43248,1234,4445,141
s17152,1235,1972,392
s7960,1236,5146,289
s28168,1237,3019,385
s43122,1238,3989,459
s5487,1239,8580,66
s44785,1240,3216,130
s4659,1241,7480,75
s22823,1242,5441,220
s36773,1243,4996,192
s37788,1244,239,136
s48943,1245,8039,201
s45047,1246,1630,441
s29687,1247,2939,178
s3256,1248,3766,129
s32965,1249,197,468
s40579,1250,5538,320
s37558,1251,9809,373
s16890,1252,2709,65
s31832,1253,7906,362
s26590,1254,350,380
s37435,1255,4373,382
s45845,1256,2554,247
s20861,1257,7247,99
s11106,1258,4108,244
s468,1259,7752,262
