stocksymbol,time,quantity,price,stock_name
s51909,57,5317,309,Stock_51909
s7335,58,2851,344,Stock_7335
s1148,59,2840,209,Stock_1148
s29514,60,1531,420,Stock_29514
s17838,61,8216,457,Stock_17838
s10153,62,7240,376,Stock_10153
s63038,63,4641,186,Stock_63038
s12952,64,2481,403,Stock_12952
s66090,65,5076,437,Stock_66090
s25679,66,4244,218,Stock_25679
s23184,67,5780,350,Stock_23184
s36817,68,2008,56,Stock_36817
s6625,69,3253,211,Stock_6625
s27439,70,8867,311,Stock_27439
s11720,71,7259,177,Stock_11720
s55456,72,1143,241,Stock_55456
s40814,73,979,248,Stock_40814
s19999,74,2436,272,Stock_19999
s10622,75,6806,244,Stock_10622
s31610,76,3429,319,Stock_31610
s3971,77,2564,417,Stock_3971
s22677,78,6451,111,Stock_22677
s34151,79,1966,287,Stock_34151
s11517,80,2226,417,Stock_11517
s44443,81,2369,83,Stock_44443
s66274,82,8221,333,Stock_66274
s10972,83,6339,380,Stock_10972
s52262,84,4096,109,Stock_52262
s1817,85,1922,169,Stock_1817
s14126,86,886,83,Stock_14126
s48575,87,2004,120,Stock_48575
s38746,88,7212,75,Stock_38746
s67565,89,3176,143,Stock_67565
s47312,90,2975,68,Stock_47312
s47219,91,6624,153,Stock_47219
s52521,92,8918,497,Stock_52521
s40578,93,7578,429,Stock_40578
s34427,94,3681,299,Stock_34427
s26299,95,2399,77,Stock_26299
s30322,96,5869,262,Stock_30322
s31903,97,4978,396,Stock_31903
s59688,98,8264,232,Stock_59688
s38618,99,9788,141,Stock_38618
s50930,100,3326,418,Stock_50930
s61981,101,1701,363,Stock_61981
s59629,102,7053,86,Stock_59629
s26736,103,250,377,Stock_26736
s19684,104,7640,264,Stock_19684
s43085,105,9104,57,Stock_43085
s33766,106,1585,121,Stock_33766
s481,107,3195,222,Stock_481
s27988,108,5795,359,Stock_27988
s48158,109,2916,264,Stock_48158
s21694,110,660,211,Stock_21694
s19431,111,1682,107,Stock_19431
s64651,112,3777,294,Stock_64651
s7069,113,3915,83,Stock_7069
s36205,114,7749,274,Stock_36205
s30945,115,720,84,Stock_30945
s67575,116,5257,287,Stock_67575
s62736,117,7969,466,Stock_62736
s44236,118,2266,376,Stock_44236
s53323,119,8938,425,Stock_53323
s7228,120,2937,292,Stock_7228
s7975,121,2540,100,Stock_7975
s67343,122,380,424,Stock_67343
s13544,123,5132,491,Stock_13544
s17285,124,9511,136,Stock_17285
s57989,125,1045,322,Stock_57989
s11489,126,8724,269,Stock_11489
s48760,127,1272,224,Stock_48760
s18923,128,5404,466,Stock_18923
s58641,129,1574,280,Stock_58641
s65072,130,1356,401,Stock_65072
s57443,131,8121,417,Stock_57443
s49361,132,7348,113,Stock_49361
s64311,133,8302,93,Stock_64311
s35572,134,7149,205,Stock_35572
s24053,135,4045,222,Stock_24053
s4443,136,9279,335,Stock_4443
s41518,137,9824,100,Stock_41518
s37398,138,1952,302,Stock_37398
s59333,139,5347,374,Stock_59333
s65350,140,8534,73,Stock_65350
s23666,141,3078,450,Stock_23666
s34748,142,7524,207,Stock_34748
s21222,143,4395,258,Stock_21222
s52562,144,9076,327,Stock_52562
s69557,145,2545,69,Stock_69557
s3344,146,5437,347,Stock_3344
s65068,147,1108,304,Stock_65068
s3384,148,9235,473,Stock_3384
s1377,149,3476,411,Stock_1377
s34779,150,2933,373,Stock_34779
s64225,151,9441,349,Stock_64225
s23548,152,4916,167,Stock_23548
s29801,153,4638,367,Stock_29801
s54774,154,7034,415,Stock_54774
s23262,155,5659,86,Stock_23262
s2250,156,5546,321,Stock_2250
s23980,157,3169,156,Stock_23980
s23893,158,7495,121,Stock_23893
s44438,159,7321,105,Stock_44438
s40268,160,3597,137,Stock_40268
s37204,161,7300,456,Stock_37204
s3062,162,1591,180,Stock_3062
s47705,163,7311,279,Stock_47705
s63387,164,8720,431,Stock_63387
s45508,165,7770,290,Stock_45508
s15042,166,2036,79,Stock_15042
s45500,167,4050,288,Stock_45500
s13324,168,5343,397,Stock_13324
s17494,169,1263,383,Stock_17494
s22012,170,6970,435,Stock_22012
s64640,171,7195,500,Stock_64640
s31515,172,1755,341,Stock_31515
s69949,173,3899,451,Stock_69949
s49160,174,9261,471,Stock_49160
s69765,175,928,282,Stock_69765
s13538,176,9104,171,Stock_13538
s59889,177,7193,182,Stock_59889
s18949,178,6994,377,Stock_18949
s52747,179,1715,140,Stock_52747
s1800,180,9304,84,Stock_1800
s32110,181,8026,310,Stock_32110
s31052,182,5278,339,Stock_31052
s21225,183,7479,230,Stock_21225
s51658,184,4257,422,Stock_51658
s11273,185,3437,184,Stock_11273
s30823,186,8459,402,Stock_30823
s31212,187,178,367,Stock_31212
s45574,188,2580,463,Stock_45574
s26493,189,9588,90,Stock_26493
s8835,190,9305,258,Stock_8835
s54902,191,4618,235,Stock_54902
s51627,192,6972,233,Stock_51627
s32910,193,4742,122,Stock_32910
s51022,194,5482,122,Stock_51022
s43709,195,6907,306,Stock_43709
s63845,196,3017,485,Stock_63845
s17209,197,147,127,Stock_17209
s54689,198,1661,334,Stock_54689
s60123,199,7166,172,Stock_60123
s27299,200,598,344,Stock_27299
s29287,201,9690,417,Stock_29287
s4505,202,566,254,Stock_4505
s17291,203,5991,404,Stock_17291
s28432,204,7965,245,Stock_28432
s41141,205,2569,386,Stock_41141
s33851,206,2724,181,Stock_33851
s7259,207,3495,82,Stock_7259
s56768,208,5058,286,Stock_56768
s23664,209,6387,273,Stock_23664
s48459,210,8253,55,Stock_48459
s60120,211,6641,223,Stock_60120
s30835,212,9692,295,Stock_30835
s20402,213,5820,330,Stock_20402
s44939,214,3983,226,Stock_44939
s2749,215,8587,272,Stock_2749
s14793,216,8147,296,Stock_14793
s32852,217,2838,491,Stock_32852
s11185,218,9767,304,Stock_11185
s44013,219,4158,473,Stock_44013
s21783,220,211,351,Stock_21783
s53125,221,6824,198,Stock_53125
s3463,222,4653,368,Stock_3463
s62984,223,1886,286,Stock_62984
s6994,224,1988,179,Stock_6994
s7714,225,6415,435,Stock_7714
s24547,226,1260,314,Stock_24547
s58012,227,5365,191,Stock_58012
s22775,228,1068,402,Stock_22775
s22928,229,5540,480,Stock_22928
s56544,230,4949,272,Stock_56544
s58245,231,9717,99,Stock_58245
s51901,232,1478,422,Stock_51901
s66647,233,8655,327,Stock_66647
s12271,234,3794,396,Stock_12271
s12364,235,2747,381,Stock_12364
s67146,236,3994,397,Stock_67146
s61068,237,7684,219,Stock_61068
s51969,238,4276,442,Stock_51969
s42720,239,4958,319,Stock_42720
s15978,240,4707,75,Stock_15978
s48900,241,5308,316,Stock_48900
s43958,242,6792,214,Stock_43958
s34403,243,5993,380,Stock_34403
s65345,244,8163,451,Stock_65345
s44999,245,6209,160,Stock_44999
s21187,246,2952,300,Stock_21187
s66720,247,2156,213,Stock_66720
s6792,248,9172,302,Stock_6792
s37716,249,9442,234,Stock_37716
s25191,250,7905,484,Stock_25191
s38566,251,2596,63,Stock_38566
s56484,252,4635,234,Stock_56484
s64049,253,2733,123,Stock_64049
s17014,254,2737,291,Stock_17014
s58539,255,7653,435,Stock_58539
s3781,256,4453,308,Stock_3781
s62186,257,7751,212,Stock_62186
s14812,258,9431,306,Stock_14812
s35716,259,4594,205,Stock_35716
s58648,260,2735,471,Stock_58648
s46907,261,6943,257,Stock_46907
s42866,262,4639,448,Stock_42866
s46484,263,2710,217,Stock_46484
s57881,264,2298,109,Stock_57881
s30129,265,4563,233,Stock_30129
s64398,266,4623,83,Stock_64398
s3409,267,3541,476,Stock_3409
s6731,268,9440,440,Stock_6731
s29469,269,4505,336,Stock_29469
s13960,270,9497,247,Stock_13960
s54979,271,8687,306,Stock_54979
s31617,272,2557,366,Stock_31617
s38980,273,4961,171,Stock_38980
s5257,274,6802,99,Stock_5257
s57594,275,878,272,Stock_57594
s15468,276,4189,289,Stock_15468
s53989,277,5303,390,Stock_53989
s35663,278,8530,301,Stock_35663
s51020,279,3725,425,Stock_51020
s47860,280,9039,249,Stock_47860
s1009,281,3696,326,Stock_1009
s54843,282,2479,236,Stock_54843
s45391,283,9220,423,Stock_45391
s41503,284,3169,245,Stock_41503
s40833,285,1812,430,Stock_40833
s42713,286,6892,327,Stock_42713
s19372,287,7786,444,Stock_19372
s18924,288,4482,314,Stock_18924
s11073,289,9602,299,Stock_11073
s1800,290,5998,89,Stock_1800
s35948,291,7331,490,Stock_35948
s44194,292,3960,107,Stock_44194
s48970,293,2239,472,Stock_48970
s15198,294,3289,149,Stock_15198
s18946,295,9185,193,Stock_18946
s16752,296,4107,304,Stock_16752
s5760,297,8232,194,Stock_5760
s10051,298,9360,195,Stock_10051
s40209,299,616,249,Stock_40209
s25505,300,8743,401,Stock_25505
s18339,301,5131,356,Stock_18339
s23772,302,2895,438,Stock_23772
s51520,303,1153,482,Stock_51520
s16815,304,561,93,Stock_16815
s28546,305,6222,363,Stock_28546
s9358,306,7888,262,Stock_9358
s45359,307,3973,369,Stock_45359
s24653,308,3926,156,Stock_24653
s7560,309,7832,139,Stock_7560
s59652,310,8899,481,Stock_59652
s50251,311,6097,167,Stock_50251
s1753,312,6138,303,Stock_1753
s28758,313,6964,467,Stock_28758
s45298,314,9158,315,Stock_45298
s39829,315,3109,216,Stock_39829
s50435,316,5787,334,Stock_50435
s51641,317,7526,342,Stock_51641
s7742,318,9900,75,Stock_7742
s22925,319,6211,289,Stock_22925
s60530,320,8009,356,Stock_60530
s36538,321,3935,66,Stock_36538
s64152,322,7974,255,Stock_64152
s64876,323,743,387,Stock_64876
s57746,324,2323,338,Stock_57746
s67044,325,5387,365,Stock_67044
s5280,326,2491,377,Stock_5280
s66786,327,7670,225,Stock_66786
s49041,328,547,497,Stock_49041
s58408,329,2443,59,Stock_58408
s63808,330,1742,421,Stock_63808
s6395,331,7209,454,Stock_6395
s69687,332,1344,405,Stock_69687
s1149,333,756,475,Stock_1149
s64572,334,6467,349,Stock_64572
s56214,335,621,395,Stock_56214
s19247,336,7903,93,Stock_19247
s27235,337,5548,349,Stock_27235
s50965,338,5583,208,Stock_50965
s42755,339,1346,133,Stock_42755
s59654,340,9105,363,Stock_59654
s12248,341,6012,264,Stock_12248
s7408,342,6789,279,Stock_7408
s11777,343,6792,303,Stock_11777
s5560,344,2513,406,Stock_5560
s49289,345,724,135,Stock_49289
s21039,346,3114,269,Stock_21039
s30286,347,6234,452,Stock_30286
s63313,348,9975,259,Stock_63313
s28069,349,7405,372,Stock_28069
s6068,350,694,108,Stock_6068
s38930,351,6384,408,Stock_38930
s52343,352,2174,404,Stock_52343
s64211,353,4614,153,Stock_64211
s69640,354,7901,402,Stock_69640
s45066,355,6780,71,Stock_45066
s35953,356,5562,69,Stock_35953
s46011,357,2289,399,Stock_46011
s19716,358,4713,194,Stock_19716
s32524,359,7157,364,Stock_32524
s51103,360,3554,170,Stock_51103
s54077,361,7050,252,Stock_54077
s18399,362,9304,467,Stock_18399
s30068,363,8015,356,Stock_30068
s29405,364,4468,470,Stock_29405
s15971,365,6218,405,Stock_15971
s4495,366,7808,213,Stock_4495
s31529,367,5165,172,Stock_31529
s41913,368,7073,69,Stock_41913
s31904,369,5167,75,Stock_31904
s53949,370,7049,151,Stock_53949
s37151,371,7959,115,Stock_37151
s31841,372,5726,205,Stock_31841
s5061,373,1674,408,Stock_5061
s21592,374,1557,138,Stock_21592
s58529,375,5350,388,Stock_58529
s35952,376,5877,148,Stock_35952
s54802,377,6289,96,Stock_54802
s59021,378,2420,165,Stock_59021
s52467,379,1848,307,Stock_52467
s30227,380,2799,248,Stock_30227
s40541,381,4010,267,Stock_40541
s1698,382,6797,326,Stock_1698
s38000,383,3299,237,Stock_38000
s31012,384,2739,392,Stock_31012
s40358,385,8932,174,Stock_40358
s35604,386,6819,62,Stock_35604
s29944,387,8119,329,Stock_29944
s8152,388,4942,165,Stock_8152
s21058,389,3706,199,Stock_21058
s20086,390,5211,334,Stock_20086
s50001,391,9074,88,Stock_50001
s59264,392,6223,249,Stock_59264
s20085,393,8968,388,Stock_20085
s62882,394,8268,415,Stock_62882
s30879,395,110,233,Stock_30879
s42070,396,8668,242,Stock_42070
s14773,397,5366,178,Stock_14773
s43243,398,7432,432,Stock_43243
s61445,399,1780,111,Stock_61445
s50839,400,7771,419,Stock_50839
s529,401,6507,362,Stock_529
s45132,402,8195,164,Stock_45132
s64179,403,7884,83,Stock_64179
s35571,404,3551,69,Stock_35571
s20782,405,4936,456,Stock_20782
s40451,406,9891,476,Stock_40451
s61624,407,5891,99,Stock_61624
s16995,408,890,199,Stock_16995
s57752,409,2431,63,Stock_57752
s33821,410,8685,360,Stock_33821
s55171,411,6448,114,Stock_55171
s69482,412,9892,134,Stock_69482
s39778,413,9270,284,Stock_39778
s6915,414,280,328,Stock_6915
s23863,415,1913,399,Stock_23863
s10284,416,8323,461,Stock_10284
s18083,417,6124,313,Stock_18083
s44770,418,3405,226,Stock_44770
s51859,419,1765,417,Stock_51859
s20285,420,4028,363,Stock_20285
s28329,421,8025,200,Stock_28329
s63165,422,2108,416,Stock_63165
s30225,423,5803,101,Stock_30225
s37112,424,7993,298,Stock_37112
s66479,425,8976,128,Stock_66479
s2568,426,7283,440,Stock_2568
s15451,427,9471,416,Stock_15451
s2633,428,8121,114,Stock_2633
s63120,429,3626,314,Stock_63120
s53148,430,2396,105,Stock_53148
s38995,431,8557,372,Stock_38995
s4325,432,3739,459,Stock_4325
s20180,433,8127,244,Stock_20180
s23911,434,9343,449,Stock_23911
s48861,435,5083,492,Stock_48861
s29210,436,6250,420,Stock_29210
s65249,437,3699,146,Stock_65249
s33603,438,5888,487,Stock_33603
s26627,439,2615,218,Stock_26627
s6313,440,4499,189,Stock_6313
s48206,441,3444,80,Stock_48206
s22959,442,9524,141,Stock_22959
s35995,443,7252,314,Stock_35995
s28061,444,4565,292,Stock_28061
s27265,445,4002,394,Stock_27265
s45221,446,1044,304,Stock_45221
s68261,447,5076,375,Stock_68261
s68103,448,8466,497,Stock_68103
s43192,449,3287,131,Stock_43192
s43443,450,4633,485,Stock_43443
s12890,451,9997,292,Stock_12890
s19094,452,4147,470,Stock_19094
s28414,453,2949,305,Stock_28414
s13725,454,3459,405,Stock_13725
s28520,455,8462,396,Stock_28520
s16641,456,8000,461,Stock_16641
s52265,457,1089,129,Stock_52265
s50554,458,3415,235,Stock_50554
s19214,459,6250,210,Stock_19214
s65826,460,9445,473,Stock_65826
s23396,461,3699,274,Stock_23396
s46153,462,5737,438,Stock_46153
s15455,463,9463,235,Stock_15455
s33055,464,1199,340,Stock_33055
s50999,465,2315,178,Stock_50999
s48136,466,4204,234,Stock_48136
s22163,467,5294,263,Stock_22163
s33698,468,1803,494,Stock_33698
s9996,469,3714,116,Stock_9996
s46803,470,9159,226,Stock_46803
s66157,471,4922,101,Stock_66157
s29002,472,3343,338,Stock_29002
s42282,473,8564,195,Stock_42282
s28765,474,1724,486,Stock_28765
s5804,475,6758,81,Stock_5804
s6517,476,6949,130,Stock_6517
s6562,477,1085,384,Stock_6562
s42381,478,1690,132,Stock_42381
s58898,479,7530,236,Stock_58898
s12249,480,810,210,Stock_12249
s8731,481,4721,284,Stock_8731
s53096,482,8559,62,Stock_53096
s59272,483,3671,309,Stock_59272
s36530,484,8204,433,Stock_36530
s50378,485,5161,158,Stock_50378
s25353,486,3478,361,Stock_25353
s21954,487,5596,283,Stock_21954
s57214,488,166,255,Stock_57214
s50523,489,8337,73,Stock_50523
s716,490,4396,203,Stock_716
s39023,491,283,371,Stock_39023
s14175,492,4347,257,Stock_14175
s10536,493,9954,442,Stock_10536
s55949,494,1282,152,Stock_55949
s24195,495,1599,347,Stock_24195
s50647,496,1559,378,Stock_50647
s37870,497,1616,222,Stock_37870
s44981,498,1028,498,Stock_44981
s20231,499,3143,220,Stock_20231
s37823,500,2452,107,Stock_37823
s40195,501,1258,198,Stock_40195
s20072,502,8115,458,Stock_20072
s68502,503,4853,143,Stock_68502
s30852,504,2020,178,Stock_30852
s62918,505,7623,452,Stock_62918
s26159,506,3619,91,Stock_26159
s43775,507,6872,365,Stock_43775
s4080,508,4463,216,Stock_4080
s63501,509,7526,68,Stock_63501
s3451,510,5338,397,Stock_3451
s26179,511,4367,457,Stock_26179
s60903,512,7773,154,Stock_60903
s35533,513,7057,437,Stock_35533
s8742,514,6068,151,Stock_8742
s34112,515,849,225,Stock_34112
s48384,516,6323,400,Stock_48384
s45352,517,9880,133,Stock_45352
s47275,518,3890,497,Stock_47275
s11490,519,5055,488,Stock_11490
s52744,520,2967,435,Stock_52744
s25302,521,6351,385,Stock_25302
s48101,522,6697,260,Stock_48101
s28312,523,6270,422,Stock_28312
s16969,524,1541,350,Stock_16969
s37971,525,5915,114,Stock_37971
s13052,526,8543,52,Stock_13052
s1456,527,2412,480,Stock_1456
s11785,528,4745,387,Stock_11785
s47308,529,6845,101,Stock_47308
s28207,530,2841,223,Stock_28207
s54901,531,8372,219,Stock_54901
s29930,532,6339,406,Stock_29930
s66542,533,6250,104,Stock_66542
s50276,534,5219,380,Stock_50276
s42445,535,6672,355,Stock_42445
s40044,536,9810,208,Stock_40044
s58818,537,4865,196,Stock_58818
s22949,538,2815,408,Stock_22949
s7789,539,3315,230,Stock_7789
s24065,540,9638,385,Stock_24065
s68794,541,6122,176,Stock_68794
s35073,542,6349,406,Stock_35073
s59466,543,7482,387,Stock_59466
s5911,544,9894,256,Stock_5911
s20683,545,5253,182,Stock_20683
s2508,546,1070,421,Stock_2508
s21432,547,8723,420,Stock_21432
s68067,548,5523,455,Stock_68067
s43907,549,1538,224,Stock_43907
s42399,550,5270,438,Stock_42399
s27809,551,5917,259,Stock_27809
s9120,552,6168,132,Stock_9120
s42743,553,216,391,Stock_42743
s9307,554,686,325,Stock_9307
s22756,555,4512,250,Stock_22756
s24539,556,8314,427,Stock_24539
s57202,557,8644,455,Stock_57202
s55702,558,8615,328,Stock_55702
s41287,559,7018,301,Stock_41287
s21147,560,1707,420,Stock_21147
s13510,561,3873,332,Stock_13510
s60494,562,820,308,Stock_60494
s21797,563,178,316,Stock_21797
s53588,564,2871,163,Stock_53588
s21178,565,9046,398,Stock_21178
s2580,566,4128,417,Stock_2580
s31805,567,4754,67,Stock_31805
s50993,568,8357,416,Stock_50993
s48823,569,8775,419,Stock_48823
s55064,570,7954,253,Stock_55064
s2972,571,1426,140,Stock_2972
s22334,572,5001,200,Stock_22334
s69668,573,4073,432,Stock_69668
s30486,574,4116,76,Stock_30486
s3736,575,3466,415,Stock_3736
s33742,576,1453,357,Stock_33742
s29930,577,9273,404,Stock_29930
s35068,578,7467,429,Stock_35068
s10816,579,6414,83,Stock_10816
s43917,580,7777,183,Stock_43917
s14292,581,3173,232,Stock_14292
s16400,582,8856,105,Stock_16400
s48334,583,6041,281,Stock_48334
s3290,584,8249,464,Stock_3290
s55132,585,9039,191,Stock_55132
s61137,586,5752,371,Stock_61137
s2822,587,5426,149,Stock_2822
s36858,588,9021,425,Stock_36858
s11267,589,1906,353,Stock_11267
s17755,590,9425,202,Stock_17755
s52331,591,5248,438,Stock_52331
s42873,592,8005,423,Stock_42873
s18935,593,6599,461,Stock_18935
s19912,594,9480,414,Stock_19912
s5600,595,1920,489,Stock_5600
s62866,596,1745,471,Stock_62866
s1505,597,1416,226,Stock_1505
s3952,598,7781,365,Stock_3952
s57182,599,6492,466,Stock_57182
s30018,600,2593,162,Stock_30018
s35167,601,5602,77,Stock_35167
s50535,602,1382,172,Stock_50535
s65187,603,8816,80,Stock_65187
s22675,604,3901,369,Stock_22675
s38492,605,878,402,Stock_38492
s16366,606,6782,478,Stock_16366
s64902,607,8578,259,Stock_64902
s24727,608,2955,207,Stock_24727
s17947,609,6128,348,Stock_17947
s48079,610,2961,327,Stock_48079
s26416,611,5023,277,Stock_26416
s11522,612,3963,370,Stock_11522
s54061,613,1912,168,Stock_54061
s45573,614,4688,406,Stock_45573
s1121,615,4991,244,Stock_1121
s21411,616,1180,191,Stock_21411
s68661,617,237,301,Stock_68661
s6211,618,8853,476,Stock_6211
s16564,619,6825,294,Stock_16564
s36148,620,2696,244,Stock_36148
s37688,621,7981,65,Stock_37688
s6589,622,7976,240,Stock_6589
s49706,623,5604,78,Stock_49706
s54773,624,1976,61,Stock_54773
s65314,625,6157,202,Stock_65314
s24382,626,1826,384,Stock_24382
s11420,627,1491,420,Stock_11420
s29950,628,281,197,Stock_29950
s3960,629,9415,385,Stock_3960
s35930,630,1076,155,Stock_35930
s30003,631,9564,405,Stock_30003
s28352,632,4202,249,Stock_28352
s13526,633,838,213,Stock_13526
s46653,634,7976,145,Stock_46653
s57166,635,9739,191,Stock_57166
s30055,636,296,51,Stock_30055
s68277,637,1842,120,Stock_68277
s4492,638,5591,187,Stock_4492
s12406,639,3779,308,Stock_12406
s4640,640,6433,236,Stock_4640
s59163,641,6038,52,Stock_59163
s26812,642,8131,226,Stock_26812
s65366,643,680,365,Stock_65366
s42427,644,7780,281,Stock_42427
s36396,645,4275,153,Stock_36396
s59182,646,2954,269,Stock_59182
s12632,647,4818,393,Stock_12632
s59258,648,7608,354,Stock_59258
s66999,649,4501,458,Stock_66999
s53981,650,3870,284,Stock_53981
s28076,651,5461,498,Stock_28076
s6472,652,3467,406,Stock_6472
s4108,653,313,418,Stock_4108
s17081,654,507,240,Stock_17081
s1715,655,5420,472,Stock_1715
s42388,656,6659,445,Stock_42388
s40935,657,7661,440,Stock_40935
s5376,658,2306,403,Stock_5376
s55193,659,8000,178,Stock_55193
s24794,660,6374,121,Stock_24794
s5395,661,4926,493,Stock_5395
s40440,662,1649,144,Stock_40440
s44797,663,6167,156,Stock_44797
s26248,664,502,191,Stock_26248
s36660,665,7220,272,Stock_36660
s6215,666,945,124,Stock_6215
s40859,667,1674,145,Stock_40859
s58153,668,7710,451,Stock_58153
s42606,669,5458,288,Stock_42606
s39702,670,4289,427,Stock_39702
s21091,671,3435,446,Stock_21091
s24380,672,1792,58,Stock_24380
s65893,673,876,403,Stock_65893
s35835,674,311,483,Stock_35835
s54276,675,2788,325,Stock_54276
s35302,676,8678,498,Stock_35302
s12416,677,3795,218,Stock_12416
s25972,678,4946,64,Stock_25972
s67275,679,2815,344,Stock_67275
s40446,680,7297,221,Stock_40446
s35800,681,3234,371,Stock_35800
s3716,682,7678,382,Stock_3716
s36265,683,6741,93,Stock_36265
s8204,684,3569,483,Stock_8204
s35806,685,3445,129,Stock_35806
s35752,686,4196,330,Stock_35752
s67622,687,7991,477,Stock_67622
s9347,688,6553,270,Stock_9347
s53153,689,8667,84,Stock_53153
s32825,690,7943,71,Stock_32825
s15310,691,494,304,Stock_15310
s48262,692,4664,489,Stock_48262
s27123,693,859,291,Stock_27123
s22618,694,7357,185,Stock_22618
s46130,695,6965,173,Stock_46130
s24537,696,4200,287,Stock_24537
s69256,697,1260,500,Stock_69256
s20234,698,6521,409,Stock_20234
s39902,699,6315,267,Stock_39902
s57565,700,2389,413,Stock_57565
s13536,701,5617,57,Stock_13536
s24229,702,8092,312,Stock_24229
s65619,703,6674,377,Stock_65619
s27963,704,2750,122,Stock_27963
s68913,705,8471,407,Stock_68913
s11567,706,3546,53,Stock_11567
s61213,707,8016,262,Stock_61213
s34,708,3424,288,Stock_34
s45110,709,5990,86,Stock_45110
s48550,710,3093,92,Stock_48550
s21220,711,8008,254,Stock_21220
s37344,712,1328,251,Stock_37344
s4787,713,5868,316,Stock_4787
s352,714,8915,421,Stock_352
s32397,715,9974,236,Stock_32397
s43853,716,4198,116,Stock_43853
s2070,717,701,84,Stock_2070
s13980,718,2002,253,Stock_13980
s68084,719,6767,72,Stock_68084
s8939,720,9267,80,Stock_8939
s38257,721,4402,158,Stock_38257
s46950,722,9438,212,Stock_46950
s18460,723,6031,297,Stock_18460
s22855,724,1830,417,Stock_22855
s12918,725,3133,63,Stock_12918
s18924,726,2074,309,Stock_18924
s51859,727,829,413,Stock_51859
s1345,728,7269,182,Stock_1345
s61886,729,8354,163,Stock_61886
s18977,730,4163,93,Stock_18977
s2114,731,9570,67,Stock_2114
s65420,732,7148,389,Stock_65420
s60812,733,6459,464,Stock_60812
s3361,734,2066,318,Stock_3361
s5196,735,9415,219,Stock_5196
s37661,736,4860,360,Stock_37661
s61743,737,3358,110,Stock_61743
s25898,738,8909,93,Stock_25898
s51851,739,1213,448,Stock_51851
s13721,740,757,459,Stock_13721
s27813,741,6871,442,Stock_27813
s69110,742,6029,251,Stock_69110
s1119,743,8440,247,Stock_1119
s51947,744,2619,487,Stock_51947
s46669,745,1289,235,Stock_46669
s39685,746,3686,241,Stock_39685
s37289,747,5322,483,Stock_37289
s11375,748,2328,211,Stock_11375
s11034,749,6047,144,Stock_11034
s13370,750,9920,51,Stock_13370
s20344,751,7203,383,Stock_20344
s41713,752,3273,268,Stock_41713
s21105,753,1471,168,Stock_21105
s66397,754,4167,263,Stock_66397
s55647,755,1473,182,Stock_55647
s58576,756,3839,357,Stock_58576
s713,757,1503,155,Stock_713
s66847,758,7651,457,Stock_66847
s23329,759,2627,474,Stock_23329
s46984,760,6055,200,Stock_46984
s20325,761,1287,245,Stock_20325
s51232,762,284,330,Stock_51232
s55945,763,4959,127,Stock_55945
s61155,764,188,195,Stock_61155
s67625,765,2025,444,Stock_67625
s41608,766,694,446,Stock_41608
s58956,767,7611,492,Stock_58956
s46339,768,9425,422,Stock_46339
s32681,769,4981,137,Stock_32681
s68586,770,5912,346,Stock_68586
s41357,771,9246,255,Stock_41357
s48205,772,5426,196,Stock_48205
s64337,773,1959,393,Stock_64337
s55112,774,8125,317,Stock_55112
s3700,775,5415,253,Stock_3700
s2056,776,1157,192,Stock_2056
s38935,777,8890,223,Stock_38935
s58300,778,5940,317,Stock_58300
s5149,779,7087,248,Stock_5149
